sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
Leaf_16S_F1_R1	17,800	NA	8,247	46.3%	8247	6570	6569	6567	6399	6373
Leaf_16S_F1_R10	38,505	NA	19,591	50.9%	19591	18440	18419	18403	18201	18116
Leaf_16S_F1_R11	29,327	NA	11,292	38.5%	11292	10568	10556	10536	10351	10292
Leaf_16S_F1_R12	27,457	NA	12,301	44.8%	12301	11642	11625	11629	11498	11459
Leaf_16S_F1_R13	25,022	NA	13,030	52.1%	13030	12336	12333	12322	12231	12209
Leaf_16S_F1_R14	24,776	NA	11,124	44.9%	11124	10515	10452	10456	10274	10241
Leaf_16S_F1_R15	58,067	NA	36,759	63.3%	36759	34797	34781	34770	34273	34199
Leaf_16S_F1_R16	68,719	NA	44,440	64.7%	44440	41168	41138	41119	40567	40463
Leaf_16S_F1_R17	28,259	NA	3,225	11.4%	3225	3048	2946	2903	2568	2469
Leaf_16S_F1_R18	32,296	NA	8,846	27.4%	8846	8434	8191	8026	7078	6762
Leaf_16S_F1_R19	12,961	NA	4,692	36.2%	4692	4404	4272	4240	3808	3683
Leaf_16S_F1_R2	44,531	NA	17,365	39.0%	17365	16417	16398	16384	16172	16013
Leaf_16S_F1_R20	21,470	NA	5,756	26.8%	5756	5484	5316	5256	4637	4444
Leaf_16S_F1_R21	16,482	NA	4,381	26.6%	4381	4144	4027	3977	3545	3410
Leaf_16S_F1_R22	3,654	NA	3,026	82.8%	3026	2891	2784	2751	2463	2370
Leaf_16S_F1_R23	5,149	NA	4,517	87.7%	4517	4268	4144	4089	3608	3451
Leaf_16S_F1_R24	5,942	NA	4,651	78.3%	4651	4421	4271	4230	3710	3577
Leaf_16S_F1_R3	19,277	NA	4,082	21.2%	4082	3859	3848	3847	3750	3709
Leaf_16S_F1_R4	26,088	NA	17,387	66.6%	17387	16410	16399	16388	16118	16004
Leaf_16S_F1_R5	28,596	NA	6,577	23.0%	6577	6218	6205	6190	6094	6055
Leaf_16S_F1_R6	43,298	NA	14,480	33.4%	14480	13659	13634	13628	13438	13312
Leaf_16S_F1_R7	15,565	NA	2,141	13.8%	2141	1979	1971	1949	1847	1801
Leaf_16S_F1_R8	48,614	NA	30,735	63.2%	30735	28357	28327	28317	27615	27473
Leaf_16S_F1_R9	31,925	NA	9,390	29.4%	9390	8862	8853	8848	8671	8590
Leaf_16S_F10_R1	38,269	NA	20,047	52.4%	20047	18904	18867	18874	18466	18305
Leaf_16S_F10_R10	10,552	NA	5,825	55.2%	5825	2690	2689	2690	2618	2611
Leaf_16S_F10_R11	22,048	NA	11,942	54.2%	11942	11120	11097	11102	10842	10777
Leaf_16S_F10_R12	26,881	NA	11,590	43.1%	11590	10923	10912	10907	10713	10658
Leaf_16S_F10_R13	8,324	NA	7,434	89.3%	7434	6995	6990	6986	6854	6813
Leaf_16S_F10_R14	1,966	NA	978	49.7%	978	915	911	909	887	875
Leaf_16S_F10_R15	2,135	NA	1,085	50.8%	1085	1022	1021	1019	985	974
Leaf_16S_F10_R16	8,329	NA	7,258	87.1%	7258	6821	6819	6815	6708	6651
Leaf_16S_F10_R17	1,982	NA	1,055	53.2%	1055	984	975	964	908	890
Leaf_16S_F10_R18	2,896	NA	1,819	62.8%	1819	1718	1708	1695	1600	1567
Leaf_16S_F10_R19	2,212	NA	1,338	60.5%	1338	1255	1250	1243	1195	1182
Leaf_16S_F10_R2	28,755	NA	14,981	52.1%	14981	13925	13922	13909	13508	13428
Leaf_16S_F10_R20	1,413	NA	963	68.2%	963	892	891	878	830	816
Leaf_16S_F10_R21	1,728	NA	1,063	61.5%	1063	985	983	975	934	924
