Site,Tree,PDI,DAI,PDI_unscaled,DAI_unscaled,AOD proximity
ANCST,C1,0.477146402,0.03042235,-0.104899499,-0.332198406,Near
ANCST,C2,0.493388825,-0.123156705,-0.092976426,-0.448527918,Near
ANCST,C3,0.149696468,0.053869944,-0.345270621,-0.314437864,Near
ANCST,C4,0.462771468,0.063427273,-0.115451704,-0.307198599,Near
ANCST,C5,0.343697636,-0.03587321,-0.202860213,-0.382414434,Near
ASHC,C1,0.57335259,0.089751377,-0.034277438,-0.287259226,Far
ASHC,C2,0.726915771,0.35979898,0.078448663,-0.08270981,Far
ASHC,C3,0.538994742,0.289258788,-0.059498497,-0.136140963,Far
ASHC,C5,0.740542279,0.248272509,0.088451471,-0.167186302,Far
ASHC,C6,0.670434579,0.306139268,0.036987523,-0.123354728,Far
ATTP,A10,0.889435377,0.02398331,0.197749404,-0.337075701,AOD
ATTP,A11,0.857631781,0.310990783,0.174403344,-0.119679914,AOD
ATTP,A12,0.848055357,0.211689617,0.16737358,-0.194896266,AOD
ATTP,A13,0.827183006,0.004344957,0.152051816,-0.351950906,AOD
ATTP,A14,0.525175323,0.131468325,-0.069642916,-0.255660436,AOD
ATTP,A15,0.770105938,0.303752464,0.110153262,-0.125162629,AOD
ATTP,A16,0.921408983,0.096942646,0.221220265,-0.281812149,AOD
ATTP,A17,0.774656562,0.472092433,0.113493738,0.00234764,AOD
ATTP,A18,0.906828708,0.216783098,0.210517324,-0.191038174,AOD
ATTP,A19,0.821744489,0.426924932,0.148059565,-0.031864795,AOD
ATTP,A20,NA,NA,NA,NA,NA
ATTP,A6,0.769221571,0.308313842,0.109504075,-0.121707582,AOD
ATTP,A7,0.721239535,0.175110747,0.074281909,-0.222603183,AOD
ATTP,A8,0.762688939,0.668998641,0.104708667,0.151495603,AOD
ATTP,A9,0.52704556,0.306612719,-0.068270032,-0.122996109,AOD
ATTP,C1,0.776186121,0.277281964,0.114616541,-0.145212891,AOD
ATTP,C2,0.72190272,0.267731448,0.074768733,-0.152446995,AOD
ATTP,C3,0.713394097,0.169679178,0.06852281,-0.226717362,AOD
ATTP,C4,0.779358717,0.239513591,0.116945448,-0.173820805,AOD
ATTP,C5,0.819705636,0.038337761,0.146562905,-0.326202823,AOD
BBW,C1,0.727629366,0.225072366,0.078972491,-0.184759411,Far
BBW,C2,0.617409112,0.363016519,-0.001936873,-0.080272662,Far
BBW,C3,0.728985758,0.098946835,0.079968178,-0.280294063,Far
BBW,C4,0.774315315,0.140803329,0.113243239,-0.248589573,Far
BBW,C5,0.782916082,0.108458733,0.119556803,-0.273089209,Far
CDPM,C1,0.766412548,0.237773375,0.107442056,-0.175138944,Far
CDPM,C2,0.860939714,0.02912646,0.176831598,-0.333179986,Far
CDPM,C3,0.751758218,0.153119349,0.096684754,-0.239260719,Far
CDPM,C4,0.597258424,0.171559009,-0.016728886,-0.225293471,Far
CDPM,C5,0.762664342,0.152633764,0.104690611,-0.239628529,Far
CDS,C1,0.748374589,0.258775994,0.094200934,-0.159230366,Far
CDS,C2,0.73245294,0.228043324,0.082513332,-0.182509038,Far
CDS,C3,0.584266514,0.188047441,-0.026265855,-0.212804195,Far
CDS,C4,0.775784478,0.176772764,0.114321707,-0.221344277,Far
CDS,C5,0.738178094,0.205569962,0.086715995,-0.199531641,Far
CROC,C1,0.808801989,0.176683272,0.138558866,-0.221412063,Near
CROC,C2,0.813495445,0.135486608,0.142004191,-0.25261676,Near
CROC,C3,0.742669142,0.025191239,0.090012737,-0.336160746,Near
CROC,C4,0.753773083,0.166006593,0.098163806,-0.229499187,Near
CROC,C5,0.742211839,0.170290374,0.089677045,-0.226254408,Near
DYMK,C1,0.805457509,0.246415136,0.136103784,-0.168593183,Near
DYMK,C2,0.740869243,0.252300692,0.088691486,-0.164135128,Near
DYMK,C3,0.765774827,0.220328585,0.106973924,-0.18835262,Near
DYMK,C4,0.74439426,0.137434125,0.091279095,-0.251141599,Near
DYMK,C5,0.800738686,0.043527042,0.132639839,-0.322272166,Near
GMKW,A10,0.608133403,-0.064212334,-0.008745891,-0.403880098,AOD
GMKW,A11,0.248665319,-0.138010764,-0.272620571,-0.459779227,AOD
GMKW,A12,0.685064044,0.042578369,0.047726572,-0.322990745,AOD
GMKW,A13,0.55671913,0.283910168,-0.046487558,-0.140192313,AOD
GMKW,A14,0.656116848,-5.40E-05,0.026477309,-0.355282925,AOD
