sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
Leaf_ITS_F1_R1	101,328	NA	48,748	48.1%	48748	27549	27538	27528	26868	26050
Leaf_ITS_F1_R10	69,727	NA	28,925	41.5%	28923	25258	25248	25246	24913	24189
Leaf_ITS_F1_R11	94,224	NA	30,386	32.2%	30386	26961	26943	26937	26528	25702
Leaf_ITS_F1_R12	80,506	NA	31,815	39.5%	31815	28038	28024	28021	27607	26709
Leaf_ITS_F1_R13	92,560	NA	33,222	35.9%	33222	29485	29467	29454	29198	28187
Leaf_ITS_F1_R14	81,933	NA	22,282	27.2%	22282	19763	19738	19733	19432	18350
Leaf_ITS_F1_R15	70,697	NA	30,765	43.5%	30765	26983	26974	26967	26590	25994
Leaf_ITS_F1_R16	95,624	NA	38,289	40.0%	38289	33601	33577	33569	32988	32232
Leaf_ITS_F1_R17	39,975	NA	2,038	5.1%	2038	1708	1704	1703	1646	1328
Leaf_ITS_F1_R18	32,902	NA	2,803	8.5%	2803	2422	2417	2409	2306	1724
Leaf_ITS_F1_R19	74,933	NA	2,784	3.7%	2784	2433	2424	2431	2315	1672
Leaf_ITS_F1_R2	49,661	NA	12,407	25.0%	12407	10782	10772	10773	10575	9841
Leaf_ITS_F1_R20	35,971	NA	869	2.4%	869	792	788	788	748	597
Leaf_ITS_F1_R21	36,410	NA	2,363	6.5%	2363	2101	2094	2097	2000	1440
Leaf_ITS_F1_R22	3,069	NA	1,367	44.5%	1367	1212	1207	1210	1161	958
Leaf_ITS_F1_R23	4,938	NA	1,931	39.1%	1931	1678	1673	1672	1607	1186
Leaf_ITS_F1_R24	6,858	NA	2,711	39.5%	2711	2417	2405	2409	2290	1775
Leaf_ITS_F1_R3	65,438	NA	7,253	11.1%	7252	6429	6421	6416	6292	5685
Leaf_ITS_F1_R4	91,687	NA	26,166	28.5%	26166	22822	22805	22791	22520	21664
Leaf_ITS_F1_R5	115,734	NA	21,296	18.4%	21296	18774	18768	18734	18388	17814
Leaf_ITS_F1_R6	72,429	NA	20,013	27.6%	20013	17616	17581	17591	17016	15975
Leaf_ITS_F1_R7	40,634	NA	11,115	27.4%	11115	9863	9856	9845	9663	9140
Leaf_ITS_F1_R8	48,121	NA	35,301	73.4%	35301	31431	31416	31387	30748	29465
Leaf_ITS_F1_R9	122,929	NA	71,224	57.9%	71224	62776	62742	62741	61791	60990
Leaf_ITS_F10_R1	65,230	NA	36,229	55.5%	36229	32325	32259	32244	31603	30603
Leaf_ITS_F10_R10	11,622	NA	5,975	51.4%	5975	951	950	951	941	907
Leaf_ITS_F10_R11	47,265	NA	17,844	37.8%	17844	15594	15534	15540	15124	14757
Leaf_ITS_F10_R12	34,121	NA	17,336	50.8%	17336	15446	15434	15434	14977	14512
Leaf_ITS_F10_R13	31,718	NA	28,661	90.4%	28661	25830	25817	25818	25619	25124
Leaf_ITS_F10_R14	5,128	NA	2,787	54.3%	2787	2510	2505	2505	2328	1972
Leaf_ITS_F10_R15	3,116	NA	1,187	38.1%	1186	1035	1033	1031	977	738
Leaf_ITS_F10_R16	34,984	NA	33,182	94.8%	33182	29248	29232	29228	28685	28195
Leaf_ITS_F10_R17	2,476	NA	1,216	49.1%	1216	1055	1049	1046	987	766
Leaf_ITS_F10_R18	3,480	NA	1,947	55.9%	1947	1676	1671	1666	1587	1216
Leaf_ITS_F10_R19	4,344	NA	1,858	42.8%	1858	1642	1639	1631	1538	1146
Leaf_ITS_F10_R2	47,741	NA	22,484	47.1%	22484	19534	19456	19458	18725	18209
Leaf_ITS_F10_R20	1,538	NA	586	38.1%	586	514	510	511	485	392
Leaf_ITS_F10_R21	3,008	NA	1,635	54.4%	1635	1475	1470	1470	1393	1048
Leaf_ITS_F10_R22	1,281	NA	766	59.8%	766	681	673	679	624	503
Leaf_ITS_F10_R23	2,290	NA	1,366	59.7%	1366	1231	1228	1228	1160	865
Leaf_ITS_F10_R24	2,980	NA	1,746	58.6%	1746	1544	1537	1531	1454	1106
Leaf_ITS_F10_R3	46,768	NA	32,968	70.5%	32968	29611	29597	29560	29198	28557
Leaf_ITS_F10_R4	33,265	NA	17,679	53.1%	17679	15730	15723	15707	15335	14784
Leaf_ITS_F10_R5	45,481	NA	24,205	53.2%	24203	21447	21379	21379	20951	20523
Leaf_ITS_F10_R6	70,702	NA	34,347	48.6%	34347	30719	30696	30694	29926	29102
Leaf_ITS_F10_R7	31,949	NA	19,670	61.6%	19670	17442	17412	17409	16988	16496
Leaf_ITS_F10_R8	61,402	NA	36,438	59.3%	36438	32179	32145	32137	31642	30667
Leaf_ITS_F10_R9	57,073	NA	29,146	51.1%	29146	25806	25783	25776	25356	24712
Leaf_ITS_F11_R1	89,446	NA	58,971	65.9%	58971	53081	53027	53008	51032	49389
Leaf_ITS_F11_R10	46,931	NA	27,756	59.1%	27756	24577	24557	24552	24139	23464
Leaf_ITS_F11_R11	3,190	NA	2,002	62.8%	2002	270	270	269	259	253
Leaf_ITS_F11_R12	52,536	NA	26,607	50.6%	26607	23318	23300	23300	22777	21919
Leaf_ITS_F11_R13	32,366	NA	29,105	89.9%	29105	26349	26321	26318	26029	25286
Leaf_ITS_F11_R14	45,884	NA	43,038	93.8%	43038	39083	39075	39070	38837	38221
Leaf_ITS_F11_R15	29,026	NA	26,801	92.3%	26801	23755	23729	23734	23075	21843
Leaf_ITS_F11_R16	30,771	NA	28,733	93.4%	28733	25788	25753	25755	25440	24835
Leaf_ITS_F11_R17	3,138	NA	1,793	57.1%	1793	1523	1518	1511	1449	1169
Leaf_ITS_F11_R18	4,238	NA	2,446	57.7%	2446	2116	2105	2102	1986	1460
Leaf_ITS_F11_R19	5,176	NA	2,448	47.3%	2448	2172	2170	2169	2059	1497
Leaf_ITS_F11_R2	50,398	NA	25,199	50.0%	25199	21926	21921	21911	21562	20925
Leaf_ITS_F11_R20	1,930	NA	773	40.1%	773	668	667	666	633	496
Leaf_ITS_F11_R21	3,639	NA	2,142	58.9%	2142	1912	1907	1905	1802	1307
Leaf_ITS_F11_R22	1,816	NA	1,259	69.3%	1259	1104	1094	1093	1029	865
Leaf_ITS_F11_R23	2,831	NA	1,821	64.3%	1821	1621	1613	1614	1527	1132
Leaf_ITS_F11_R24	3,894	NA	2,489	63.9%	2489	2219	2210	2208	2067	1572
Leaf_ITS_F11_R3	38,324	NA	18,433	48.1%	18433	16556	16531	16519	15931	15236
Leaf_ITS_F11_R4	32,319	NA	15,629	48.4%	15629	13684	13647	13651	13252	12712
Leaf_ITS_F11_R5	50,981	NA	24,392	47.8%	24392	21801	21773	21773	20960	20372
Leaf_ITS_F11_R6	44,364	NA	16,223	36.6%	16223	14510	14493	14492	14206	13313
Leaf_ITS_F11_R7	43,799	NA	21,246	48.5%	21246	18912	18877	18862	17487	16443
