SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Agar-16S-F1-R1	F1	R1	201	6	1	A1	1	Isolation	Agar	All	ASHC	C1	Isolation-Agar-ASHC-C1	Sample	MiSeq
Agar-16S-F1-R2	F1	R2	201	6	1	A2	2	Isolation	Agar	All	ASHC	C2	Isolation-Agar-ASHC-C2	Sample	MiSeq
Agar-16S-F1-R3	F1	R3	201	6	1	A3	3	Isolation	Agar	All	ASHC	C3	Isolation-Agar-ASHC-C3	Sample	MiSeq
Agar-16S-F1-R4	F1	R4	201	6	1	A4	4	Isolation	Agar	All	ASHC	C4	Isolation-Agar-ASHC-C4	Sample	MiSeq
Agar-16S-F1-R5	F1	R5	201	6	1	A5	5	Isolation	Agar	All	ASHC	C5	Isolation-Agar-ASHC-C5	Sample	MiSeq
Agar-16S-F1-R6	F1	R6	201	6	1	A6	6	Isolation	Agar	All	TAWWD	C1	Isolation-Agar-TAWWD-C1	Sample	MiSeq
Agar-16S-F1-R7	F1	R7	201	6	1	A7	7	Isolation	Agar	All	TAWWD	C2	Isolation-Agar-TAWWD-C2	Sample	MiSeq
Agar-16S-F1-R8	F1	R8	201	6	1	A8	8	Isolation	Agar	All	TAWWD	C3	Isolation-Agar-TAWWD-C3	Sample	MiSeq
Agar-16S-F1-R9	F1	R9	201	6	1	A9	9	Isolation	Agar	All	TAWWD	C4	Isolation-Agar-TAWWD-C4	Sample	MiSeq
Agar-16S-F1-R10	F1	R10	201	6	1	A10	10	Isolation	Agar	All	TAWWD	C5	Isolation-Agar-TAWWD-C5	Sample	MiSeq
Agar-16S-F1-R11	F1	R11	201	6	1	A11	11	Isolation	Agar	All	STRTS	C1	Isolation-Agar-STRTS-C1	Sample	MiSeq
Agar-16S-F1-R12	F1	R12	201	6	1	A12	12	Isolation	Agar	All	STRTS	C2	Isolation-Agar-STRTS-C2	Sample	MiSeq
Agar-16S-F1-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F1-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F1-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
Agar-16S-F1-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	All	NA	NA	NA	Unused	MiSeq
