SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
D2E-16S-F1-R1	F1	R1	200	5	1	A1	12	Isolation	D2E	Leaf	ANCST	C1	Isolation-D2E-ANCST-C1	Sample	NovaSeq
D2E-16S-F1-R2	F1	R2	200	5	1	A2	77	Isolation	D2E	Soil	GMKW	C2	Isolation-D2E-GMKW-C2	Sample	NovaSeq
D2E-16S-F1-R3	F1	R3	200	5	1	A3	199	Isolation	D2E	Soil	STHWK	C4	Isolation-D2E-STHWK-C4	Sample	NovaSeq
D2E-16S-F1-R4	F1	R4	200	5	1	A4	6	Isolation	D2E	Leaf	SLCY	C1	Isolation-D2E-SLCY-C1	Sample	NovaSeq
D2E-16S-F1-R5	F1	R5	200	5	1	A5	107	Isolation	D2E	Soil	SNDR	C2	Isolation-D2E-SNDR-C2	Sample	NovaSeq
D2E-16S-F1-R6	F1	R6	200	5	1	A6	236	Isolation	D2E	Leaf	HOEF	C4	Isolation-D2E-HOEF-C4	Sample	NovaSeq
D2E-16S-F1-R7	F1	R7	200	5	1	A7	5	Isolation	D2E	Soil	SLCY	C1	Isolation-D2E-SLCY-C1	Sample	NovaSeq
D2E-16S-F1-R8	F1	R8	200	5	1	A8	104	Isolation	D2E	Leaf	STRTS	C2	Isolation-D2E-STRTS-C2	Sample	NovaSeq
D2E-16S-F1-R9	F1	R9	200	5	1	A9	181	Isolation	D2E	Soil	RWDN	C4	Isolation-D2E-RWDN-C4	Sample	NovaSeq
D2E-16S-F1-R10	F1	R10	200	5	1	A10	273	Isolation	D2E	Soil	LANGDL	C5	Isolation-D2E-LANGDL-C5	Sample	NovaSeq
D2E-16S-F1-R11	F1	R11	200	5	1	A11	327	Isolation	D2E	Leaf	TAWWD	C4	Isolation-D2E-TAWWD-C4	Sample	NovaSeq
D2E-16S-F1-R12	F1	R12	200	5	1	A12	3	Isolation	D2E	Soil	CDPM	C1	Isolation-D2E-CDPM-C1	Sample	NovaSeq
D2E-16S-F1-R13	F1	R13	200	5	4	A1	2	Isolation	D2E	Leaf	SAW	C1	Isolation-D2E-SAW-C1	Sample	NovaSeq
D2E-16S-F1-R14	F1	R14	200	5	4	A2	47	Isolation	D2E	Soil	SNDR	C1	Isolation-D2E-SNDR-C1	Sample	NovaSeq
D2E-16S-F1-R15	F1	R15	200	5	4	A3	125	Isolation	D2E	Soil	MTRD	C3	Isolation-D2E-MTRD-C3	Sample	NovaSeq
D2E-16S-F1-R16	F1	R16	200	5	4	A4	179	Isolation	D2E	Soil	TAWWD	C3	Isolation-D2E-TAWWD-C3	Sample	NovaSeq
D2E-16S-F1-R17	F1	R17	200	5	4	A5	227	Isolation	D2E	Soil	CDS	C4	Isolation-D2E-CDS-C4	Sample	NovaSeq
