SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Agar-ITS-F1-R1	F1	R1	1	5	3	A1	1	Isolation	Agar	All	ASHC	C1	Agar-All-ASHC-C1	Sample	MiSeq
Agar-ITS-F1-R2	F1	R2	1	5	3	A2	2	Isolation	Agar	All	ASHC	C2	Agar-All-ASHC-C2	Sample	MiSeq
Agar-ITS-F1-R3	F1	R3	1	5	3	A3	3	Isolation	Agar	All	ASHC	C3	Agar-All-ASHC-C3	Sample	MiSeq
Agar-ITS-F1-R4	F1	R4	1	5	3	A4	4	Isolation	Agar	All	ASHC	C4	Agar-All-ASHC-C4	Sample	MiSeq
Agar-ITS-F1-R5	F1	R5	1	5	3	A5	5	Isolation	Agar	All	ASHC	C5	Agar-All-ASHC-C5	Sample	MiSeq
Agar-ITS-F1-R6	F1	R6	1	5	3	A6	6	Isolation	Agar	All	TAWWD	C1	Agar-All-TAWWD-C1	Sample	MiSeq
Agar-ITS-F1-R7	F1	R7	1	5	3	A7	7	Isolation	Agar	All	TAWWD	C2	Agar-All-TAWWD-C2	Sample	MiSeq
Agar-ITS-F1-R8	F1	R8	1	5	3	A8	8	Isolation	Agar	All	TAWWD	C3	Agar-All-TAWWD-C3	Sample	MiSeq
Agar-ITS-F1-R9	F1	R9	1	5	3	A9	9	Isolation	Agar	All	TAWWD	C4	Agar-All-TAWWD-C4	Sample	MiSeq
Agar-ITS-F1-R10	F1	R10	1	5	3	A10	10	Isolation	Agar	All	TAWWD	C5	Agar-All-TAWWD-C5	Sample	MiSeq
Agar-ITS-F1-R11	F1	R11	1	5	3	A11	11	Isolation	Agar	All	STRTS	C1	Agar-All-STRTS-C1	Sample	MiSeq
Agar-ITS-F1-R12	F1	R12	1	5	3	A12	12	Isolation	Agar	All	STRTS	C2	Agar-All-STRTS-C2	Sample	MiSeq
Agar-ITS-F1-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	NA	NA	NA	NA	Unused	MiSeq
Agar-ITS-F1-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	Agar	NA	NA	NA	NA	Unused	MiSeq
