SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
D2E-ITS-F1-R1	F1	R1	1	5	5	A1	12	Isolation	D2E	Leaf	ANCST	C1	D2E-Leaf-ANCST-C1	Sample	NovaSeq
D2E-ITS-F1-R2	F1	R2	1	5	5	A2	77	Isolation	D2E	Soil	GMKW	C2	D2E-Soil-GMKW-C2	Sample	NovaSeq
D2E-ITS-F1-R3	F1	R3	1	5	5	A3	199	Isolation	D2E	Soil	STHWK	C4	D2E-Soil-STHWK-C4	Sample	NovaSeq
D2E-ITS-F1-R4	F1	R4	1	5	5	A4	6	Isolation	D2E	Leaf	SLCY	C1	D2E-Leaf-SLCY-C1	Sample	NovaSeq
D2E-ITS-F1-R5	F1	R5	1	5	5	A5	107	Isolation	D2E	Soil	SNDR	C2	D2E-Soil-SNDR-C2	Sample	NovaSeq
D2E-ITS-F1-R6	F1	R6	1	5	5	A6	236	Isolation	D2E	Leaf	HOEF	C4	D2E-Leaf-HOEF-C4	Sample	NovaSeq
D2E-ITS-F1-R7	F1	R7	1	5	5	A7	5	Isolation	D2E	Soil	SLCY	C1	D2E-Soil-SLCY-C1	Sample	NovaSeq
D2E-ITS-F1-R8	F1	R8	1	5	5	A8	104	Isolation	D2E	Leaf	STRTS	C2	D2E-Leaf-STRTS-C2	Sample	NovaSeq
D2E-ITS-F1-R9	F1	R9	1	5	5	A9	181	Isolation	D2E	Soil	RWDN	C4	D2E-Soil-RWDN-C4	Sample	NovaSeq
D2E-ITS-F1-R10	F1	R10	1	5	5	A10	273	Isolation	D2E	Soil	LANGDL	C5	D2E-Soil-LANGDL-C5	Sample	NovaSeq
D2E-ITS-F1-R11	F1	R11	1	5	5	A11	327	Isolation	D2E	Leaf	TAWWD	C4	D2E-Leaf-TAWWD-C4	Sample	NovaSeq
D2E-ITS-F1-R12	F1	R12	1	5	5	A12	3	Isolation	D2E	Soil	CDPM	C1	D2E-Soil-CDPM-C1	Sample	NovaSeq
D2E-ITS-F1-R13	F1	R13	1	5	8	A1	2	Isolation	D2E	Leaf	SAW	C1	D2E-Leaf-SAW-C1	Sample	NovaSeq
D2E-ITS-F1-R14	F1	R14	1	5	8	A2	47	Isolation	D2E	Soil	SNDR	C1	D2E-Soil-SNDR-C1	Sample	NovaSeq
D2E-ITS-F1-R15	F1	R15	1	5	8	A3	125	Isolation	D2E	Soil	MTRD	C3	D2E-Soil-MTRD-C3	Sample	NovaSeq
D2E-ITS-F1-R16	F1	R16	1	5	8	A4	179	Isolation	D2E	Soil	TAWWD	C3	D2E-Soil-TAWWD-C3	Sample	NovaSeq
D2E-ITS-F1-R17	F1	R17	1	5	8	A5	227	Isolation	D2E	Soil	CDS	C4	D2E-Soil-CDS-C4	Sample	NovaSeq
D2E-ITS-F1-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
