SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Leaf-ITS-F1-R1	F1	R1	1	1	1	A1	NA	Microbiome	NA	Leaf	ATTP	A18	Microbiome-Leaf-ATTP-A18	Sample	NovaSeq
Leaf-ITS-F1-R2	F1	R2	1	1	1	B1	NA	Microbiome	NA	Leaf	MOCCA	A8	Microbiome-Leaf-MOCCA-A8	Sample	NovaSeq
Leaf-ITS-F1-R3	F1	R3	1	1	1	C1	NA	Microbiome	NA	Leaf	MALDW	C4	Microbiome-Leaf-MALDW-C4	Sample	NovaSeq
Leaf-ITS-F1-R4	F1	R4	1	1	1	D1	NA	Microbiome	NA	Leaf	HOEF	A16	Microbiome-Leaf-HOEF-A16	Sample	NovaSeq
Leaf-ITS-F1-R5	F1	R5	1	1	1	E1	NA	Microbiome	NA	Leaf	HLKH	C5	Microbiome-Leaf-HLKH-C5	Sample	NovaSeq
Leaf-ITS-F1-R6	F1	R6	1	1	1	F1	NA	Microbiome	NA	Leaf	STRTS	C4	Microbiome-Leaf-STRTS-C4	Sample	NovaSeq
Leaf-ITS-F1-R7	F1	R7	1	1	1	G1	NA	Microbiome	NA	Leaf	HTCH	A13	Microbiome-Leaf-HTCH-A13	Sample	NovaSeq
Leaf-ITS-F1-R8	F1	R8	1	1	1	H1	NA	Microbiome	NA	Leaf	WINDW	A13	Microbiome-Leaf-WINDW-A14	Sample	NovaSeq
Leaf-ITS-F1-R9	F1	R9	4	4	13	A4	NA	Microbiome	NA	Leaf	HLKH	A17	Microbiome-Leaf-HLKH-A17	Sample	NovaSeq
Leaf-ITS-F1-R10	F1	R10	4	4	13	B4	NA	Microbiome	NA	Leaf	HOEF	A13	Microbiome-Leaf-HOEF-A13	Sample	NovaSeq
Leaf-ITS-F1-R11	F1	R11	4	4	13	C4	NA	Microbiome	NA	Leaf	HOEF	A20	Microbiome-Leaf-HOEF-A20	Sample	NovaSeq
Leaf-ITS-F1-R12	F1	R12	4	4	13	D4	NA	Microbiome	NA	Leaf	HOEF	C5	Microbiome-Leaf-HOEF-C5	Sample	NovaSeq
Leaf-ITS-F1-R13	F1	R13	4	4	13	E4	NA	Microbiome	NA	Leaf	HOEF	A15	Microbiome-Leaf-HOEF-A15	Sample	NovaSeq
Leaf-ITS-F1-R14	F1	R14	4	4	13	F4	NA	Microbiome	NA	Leaf	HOEF	A7	Microbiome-Leaf-HOEF-A7	Sample	NovaSeq
Leaf-ITS-F1-R15	F1	R15	4	4	13	G4	NA	Microbiome	NA	Leaf	HTCH	C1	Microbiome-Leaf-HTCH-C1	Sample	NovaSeq
Leaf-ITS-F1-R16	F1	R16	4	4	13	H4	NA	Microbiome	NA	Leaf	LINEAG	C5	Microbiome-Leaf-LINEAG-C5	Sample	NovaSeq
Leaf-ITS-F1-R17	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F1-R18	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
