Kingdom,SampleID,Count,Total,Tissue
Bacteria,FO1,336837,6378624,Leaf
Bacteria,FO10,268141,5911218,Leaf
Bacteria,FO100,576910,5159953,Leaf
Bacteria,FO101,1429954,8037844,Leaf
Bacteria,FO102,637191,6761146,Leaf
Bacteria,FO103,676404,6126819,Leaf
Bacteria,FO104,587574,5160471,Leaf
Bacteria,FO105,266127,3571043,Leaf
Bacteria,FO106,492682,7789534,Leaf
Bacteria,FO107,149348,6057944,Leaf
Bacteria,FO108,150884,4375268,Leaf
Bacteria,FO109,120862,4116358,Leaf
Bacteria,FO11,425561,4305506,Leaf
Bacteria,FO110,442296,5688955,Leaf
Bacteria,FO111,227214,5455402,Leaf
Bacteria,FO112,235828,4436161,Leaf
Bacteria,FO113,100127,2801449,Leaf
Bacteria,FO114,565079,4670793,Leaf
Bacteria,FO115,506826,5934727,Leaf
Bacteria,FO116,400721,4042905,Leaf
Bacteria,FO117,175882,4326405,Leaf
Bacteria,FO118,486244,10677796,Leaf
Bacteria,FO119,217757,7014952,Leaf
Bacteria,FO12,248360,4969151,Leaf
Bacteria,FO120,308609,3414102,Leaf
Bacteria,FO121,94856,3127922,Leaf
Bacteria,FO122,154842,3841961,Leaf
Bacteria,FO123,138272,3778263,Leaf
Bacteria,FO124,343611,5486559,Leaf
Bacteria,FO125,343764,6454018,Leaf
Bacteria,FO126,803238,7246773,Leaf
Bacteria,FO127,422599,5237128,Leaf
Bacteria,FO128,172353,4097540,Leaf
Bacteria,FO129,181663,3723095,Leaf
Bacteria,FO13,229072,4669757,Leaf
Bacteria,FO130,140677,3957682,Leaf
Bacteria,FO131,279605,4767054,Leaf
Bacteria,FO132,120189,3919648,Leaf
Bacteria,FO133,124360,3074226,Leaf
Bacteria,FO134,182338,4998884,Leaf
Bacteria,FO135,245855,6266741,Leaf
Bacteria,FO136,443491,6959783,Leaf
Bacteria,FO137,227903,5705308,Leaf
Bacteria,FO138,116738,3140713,Leaf
Bacteria,FO139,296824,4625896,Leaf
Bacteria,FO14,731969,5544240,Leaf
Bacteria,FO140,282050,3949293,Leaf
Bacteria,FO141,282778,3914038,Leaf
Bacteria,FO142,116218,2748656,Leaf
Bacteria,FO143,584995,4321952,Leaf
Bacteria,FO144,130505,3453723,Leaf
Bacteria,FO145,356074,3842066,Leaf
Bacteria,FO146,141406,3560072,Leaf
Bacteria,FO147,195434,3783260,Leaf
Bacteria,FO148,160329,3945170,Leaf
Bacteria,FO149,198830,3746114,Leaf
Bacteria,FO15,138317,3828001,Leaf
Bacteria,FO150,166332,3268628,Leaf
Bacteria,FO151,382159,4272951,Leaf
Bacteria,FO152,1297928,6459698,Leaf
Bacteria,FO153,422025,3941976,Leaf
Bacteria,FO154,98999,3367242,Leaf
Bacteria,FO155,156383,4893591,Leaf
Bacteria,FO156,1169681,7497021,Leaf
Bacteria,FO157,611117,5948145,Leaf
Bacteria,FO158,541357,5731391,Leaf
Bacteria,FO159,138782,3718281,Leaf
Bacteria,FO16,466244,3692575,Leaf
Bacteria,FO160,105108,3910356,Leaf
Bacteria,FO161,425900,3915026,Leaf
Bacteria,FO162,311769,4122614,Leaf
Bacteria,FO163,303833,6304376,Leaf
Bacteria,FO164,345494,7594552,Leaf
Bacteria,FO165,1226566,5737614,Leaf
Bacteria,FO166,205857,5088445,Leaf
Bacteria,FO167,119800,3764398,Leaf
Bacteria,FO168,115212,4060908,Leaf
Bacteria,FO169,121467,3072462,Leaf
Bacteria,FO17,319606,7850871,Leaf
Bacteria,FO170,259643,3748304,Leaf
Bacteria,FO171,382716,3953247,Leaf
Bacteria,FO172,325241,4979104,Leaf
Bacteria,FO173,106090,4695397,Leaf
Bacteria,FO174,250833,7338970,Leaf
Bacteria,FO175,350118,5906803,Leaf
Bacteria,FO176,211674,6218176,Leaf
Bacteria,FO177,342706,5883927,Leaf
Bacteria,FO178,354245,5629059,Leaf
Bacteria,FO179,447792,5265959,Leaf
Bacteria,FO18,161466,3536124,Leaf
Bacteria,FO180,191570,4565920,Leaf
