Site,Tree,Agrillus exit holes,Oval shaped exit holes (A/P),Small circular shaped exit holes (A/P),Ground level fruiting bodies (A/P),Social Class (1-5),Crown contact (Y/N),Crown contact (%),Pruning / branch loss (A/P),Missing crown (%),Main defoliation type (0-7),Dieback type (0-5),Dieback location (0-6),Stem epicormics (0-4),Branch epicormics (0-4),Main necrosis type (0-7),Main chlorosis type (0-7),Main mechanical damage type (0-9),Mechanical damage (%),Insect damage on leaves (0-4),Insect defoliation type,Crown mildew (0-4),OPM (A/P),Xylella fastidiosa (A/P),Stem fruiting bodies (A/P),Crown fruiting bodies (A/P),Active bleeds #,Active bleeds length (mm),Black staining #,Black staining length (mm),Callused wound #,Callused wound length (mm),Agrilus exit hole density (m^-2),Bleed prevalence (%),Crown condition (%),Crown volume (m^3),Live crown ratio (%),Crown transparency (%),Dbh (m),Total height (m),Lower crown height (m),Crown radius (m)
ATTP,A16,2,A,A,P,2,Y,35,P,15,4,3,6,3,1,3,2,0,0,2,Both,0,A,A,A,A,17,55.29411765,0,0,0,0,0.6963619,1.206481128,34,6.525888944,6.812849869,60,0.457104109,21.78666354,20.30237087,2.869198993
ATTP,A8,0,A,A,A,2,Y,15,P,5,2,3,4,3,3,1,1,0,5,2,Both,0,A,A,A,A,1,800,0,0,0,0,0,13.63291484,71.25,543.0095781,67.20534251,25,0.498104109,23.48666354,7.702370865,5.544198993
ATTP,A9,6,A,A,A,2,Y,10,A,0,2,2,1,2,3,1,1,0,0,2,Both,0,A,A,A,A,6,43.33333333,0,0,0,0,1.764779905,0.220924299,75,980.7267027,49.97191665,25,0.541104109,32.18666354,16.10237087,7.194198993
ATTP,A18,0,A,A,A,1,N,0,P,10,4,4,6,2,2,2,4,0,5,2,Both,0,A,A,A,A,5,122,0,0,0,0,0,1.438016418,27,54.85392917,30.57268705,70,0.549104109,29.38666354,20.40237087,3.794198993
ATTP,A17,51,A,A,A,2,Y,30,P,15,3,3,4,1,3,1,1,2,10,2,Both,0,A,A,A,A,5,182,0,0,0,0,9.696406943,2.099240416,55.25,369.5772473,44.84195409,35,0.837104109,28.28666354,15.60237087,5.794198993
ATTP,A14,0,A,A,A,2,Y,25,A,0,3,2,4,1,2,1,1,0,0,2,Both,0,A,A,A,A,9,73.33333333,0,0,0,0,0,0.888317418,80,358.5320535,81.22230031,20,0.578104109,17.58666354,3.302370865,4.469198993
ATTP,A15,0,A,A,A,2,Y,10,A,0,3,2,4,1,2,1,1,0,0,2,Both,0,A,A,A,A,1,80,0,0,0,0,0,0.111852495,70,400.3374954,35.96032186,30,0.607104109,27.48666354,17.60237087,6.069198993
ATTP,A19,2,A,A,A,2,Y,10,P,5,3,3,6,2,2,1,1,2,5,2,Both,0,A,A,A,A,3,110,0,0,0,0,0.644216229,0.779501637,61.75,245.0395989,29.67680411,35,0.494104109,22.18666354,15.60237087,6.194198993
ATTP,A10,3,A,A,A,2,N,0,P,15,3,4,3,3,3,3,6,0,0,2,Both,0,A,A,A,A,2,15,0,0,0,0,0.986285429,0.009862854,42.5,11.47229497,9.687267914,50,0.484104109,17.38666354,15.70237087,3.194198993
ATTP,A11,1,A,A,P,2,Y,15,P,5,2,2,3,1,1,4,6,0,0,2,Both,0,A,A,A,A,1,80,0,0,0,0,0.726389585,0.309926223,57,172.7944923,56.16439264,40,0.219104109,24.18666354,10.60237087,3.769198993
ATTP,A12,0,A,A,A,2,Y,10,P,20,3,4,3,2,2,4,6,0,0,3,Chin,0,A,A,A,A,3,40,0,0,0,0,0,0.084586006,40,141.6919735,46.07947434,50,0.602104109,23.18666354,12.50237087,4.594198993
ATTP,C4,0,A,A,A,2,N,0,A,0,3,3,4,2,2,1,1,0,0,2,Both,0,A,A,A,A,0,0,0,0,0,0,0,0,70,407.7609556,44.31046914,30,0.797104109,23.88666354,13.30237087,5.919198993
ATTP,A13,0,A,A,A,2,Y,25,P,0.55,4,4,6,1,1,1,1,2,55,2,Both,0,A,A,A,A,0,0,0,0,0,0,0,0,54.6975,209.7035235,50.46440225,45,0.572104109,19.58666354,9.702370865,4.969198993
ATTP,C5,0,A,A,A,2,N,0,A,0,2,2,4,2,2,1,1,0,0,2,Both,0,A,A,A,A,0,0,0,0,0,0,0,0,60,207.8226966,64.96086754,40,0.534104109,17.98666354,6.302370865,4.344198993
ATTP,A6,9,A,A,A,2,Y,20,P,30,2,3,6,2,2,1,1,0,0,2,Both,0,A,A,A,A,6,32.5,0,0,0,0,0.956776806,0.044915356,49,396.8389707,63.25284518,30,1.497104109,25.58666354,9.402370865,5.644198993
ATTP,A7,0,A,A,P,2,Y,15,P,20,3,4,2,1,2,1,1,2,10,2,Both,0,A,A,A,A,2,90,0,0,0,0,0,0.13200737,60,760.1916866,98.09670001,25,1.302104109,15.88666354,0.302370865,7.194198993
ATTP,C3,0,A,P,A,2,Y,20,A,0,3,3,2,3,3,1,1,2,15,1,Both,0,A,A,A,A,0,0,0,0,0,0,0,0,70,806.6573209,66.76456349,30,0.562104109,27.08666354,9.002370865,6.369198993
ATTP,C1,0,A,A,A,2,Y,20,A,0,3,3,2,1,2,1,1,2,10,1,Both,0,A,A,A,A,0,0,0,0,0,0,0,0,60,401.4911853,39.06402227,40,0.807104109,28.88666354,17.60237087,6.144198993
ATTP,C2,0,A,P,A,2,Y,15,A,0,2,2,4,1,2,1,1,0,0,1,Both,0,A,A,A,A,0,0,0,0,0,0,0,0,65,1234.735696,50.30953125,35,0.765104109,29.38666354,14.60237087,9.044198993
GMKW,C5,0,A,A,A,2,Y,5,A,0,1,2,5,2,3,0,0,0,0,3,Chin,0,A,A,A,A,0,0,0,0,0,0,0,0,75,564.7186894,43.98461918,25,0.645730425,27.83587407,15.59237087,6.25709373
