Plate,Well,SampleOrigin,SampleID,F,R,Site,Tree
1,A1,Agar,1,F1,R1,ASHC,C1
1,A2,Agar,2,F1,R2,ASHC,C2
1,A3,Agar,3,F1,R3,ASHC,C3
1,A4,Agar,4,F1,R4,ASHC,C4
1,A5,Agar,5,F1,R5,ASHC,C5
1,A6,Agar,6,F1,R6,TAWWD,C1
1,A7,Agar,7,F1,R7,TAWWD,C2
1,A8,Agar,8,F1,R8,TAWWD,C3
1,A9,Agar,9,F1,R9,TAWWD,C4
1,A10,Agar,10,F1,R10,TAWWD,C5
1,A11,Agar,11,F1,R11,STRTS,C1
1,A12,Agar,12,F1,R12,STRTS,C2
1,B1,Agar,13,F2,R1,STRTS,C3
1,B2,Agar,14,F2,R2,STRTS,C4
1,B3,Agar,15,F2,R3,STRTS,C5
1,B4,Agar,16,F2,R4,HTCH,C1
1,B5,Agar,17,F2,R5,HTCH,C2
1,B6,Agar,18,F2,R6,HTCH,C3
1,B7,Agar,19,F2,R7,HTCH,C4
1,B8,Agar,20,F2,R8,HTCH,C5
1,B9,Agar,21,F2,R9,RCHMD,C1
1,B10,Agar,22,F2,R10,RCHMD,C2
1,B11,Agar,23,F2,R11,RCHMD,C3
1,B12,Agar,24,F2,R12,RCHMD,C4
1,C1,Agar,25,F3,R1,RCHMD,C5
1,C2,Agar,26,F3,R2,DYMK,C1
1,C3,Agar,27,F3,R3,DYMK,C2
1,C4,Agar,28,F3,R4,DYMK,C3
1,C5,Agar,29,F3,R5,DYMK,C4
1,C6,Agar,30,F3,R6,DYMK,C5
1,C7,Agar,31,F3,R7,WLDCP,C1
1,C8,Agar,32,F3,R8,WLDCP,C2
1,C9,Agar,33,F3,R9,WLDCP,C3
1,C10,Agar,34,F3,R10,WLDCP,C4
1,C11,Agar,35,F3,R11,WLDCP,C5
1,C12,Agar,36,F3,R12,LNGDL,C1
1,D1,Agar,37,F4,R1,LNGDL,C2
1,D2,Agar,38,F4,R2,LNGDL,C3
1,D3,Agar,39,F4,R3,LNGDL,C4
1,D4,Agar,40,F4,R4,LNGDL,C5
1,D5,Agar,41,F4,R5,MALDW,C1
1,D6,Agar,42,F4,R6,MALDW,C2
1,D7,Agar,43,F4,R7,MALDW,C3
1,D8,Agar,44,F4,R8,MALDW,C4
1,D9,Agar,45,F4,R9,MALDW,C5
1,D10,Agar,46,F4,R10,HOEF,C1
1,D11,Agar,47,F4,R11,HOEF,C2
1,D12,Agar,48,F4,R12,HOEF,C3
1,E1,Agar,49,F5,R1,HOEF,C4
1,E2,Agar,50,F5,R2,HOEF,C5
1,E3,Agar,51,F5,R3,LINEAG,C1
1,E4,Agar,52,F5,R4,LINEAG,C2
1,E5,Agar,53,F5,R5,LINEAG,C3
1,E6,Agar,54,F5,R6,LINEAG,C4
1,E7,Agar,55,F5,R7,LINEAG,C5
1,E8,Agar,56,F5,R8,CROC,C1
1,E9,Agar,57,F5,R9,CROC,C2
1,E10,Agar,58,F5,R10,CROC,C3
1,E11,Agar,59,F5,R11,CROC,C4
1,E12,Agar,60,F5,R12,CROC,C5
1,F1,Agar,61,F6,R1,GMKW,C1
1,F2,Agar,62,F6,R2,GMKW,C2
1,F3,Agar,63,F6,R3,GMKW,C3
1,F4,Agar,64,F6,R4,GMKW,C4
1,F5,Agar,65,F6,R5,GMKW,C5
1,F6,Agar,66,F6,R6,CDPM,C1
1,F7,Agar,67,F6,R7,CDPM,C2
1,F8,Agar,68,F6,R8,CDPM,C3
1,F9,Agar,69,F6,R9,CDPM,C4
1,F10,Agar,70,F6,R10,CDPM,C5
1,F11,Agar,71,F6,R11,CDS,C1
1,F12,Agar,72,F6,R12,CDS,C2
1,G1,Agar,73,F7,R1,CDS,C3
1,G2,Agar,74,F7,R2,CDS,C4
1,G3,Agar,75,F7,R3,CDS,C5
1,G4,Agar,76,F7,R4,WINDW,C1
1,G5,Agar,77,F7,R5,WINDW,C2
1,G6,Agar,78,F7,R6,WINDW,C3
1,G7,Agar,79,F7,R7,WINDW,C4
1,G8,Agar,80,F7,R8,WINDW,C5
1,G9,Agar,81,F7,R9,MOCCA,C1
1,G10,Agar,82,F7,R10,MOCCA,C2
1,G11,Agar,83,F7,R11,MOCCA,C3
1,G12,Agar,84,F7,R12,MOCCA,C4
1,H1,Agar,85,F8,R1,MOCCA,C5
1,H2,Agar,86,F8,R2,SLCY,C1
1,H3,Agar,87,F8,R3,SLCY,C2
1,H4,Agar,88,F8,R4,SLCY,C3
1,H5,Agar,89,F8,R5,SLCY,C4
1,H6,Agar,Neg_PCR_Ctrol_1,F8,R6,,C
1,H7,Agar,90,F8,R7,SLCY,C5
1,H8 ,Agar,91,F8,R8,MCOU,C1
1,H9,Agar,92,F8,R9,MCOU,C2
1,H10,Agar,93,F8,R10,MCOU,C3
1,H11,Agar,94,F8,R11,MCOU,C4
1,H12,Agar,Neg_PCR_Ctrol_2,F8,R12,,C
2,A1,Agar,95,F9,R1,MCOU,C5
2,A2,Agar,96,F9,R2,STHWK,C1
2,A3,Agar,97,F9,R3,STHWK,C2
2,A4,Agar,98,F9,R4,STHWK,C3
2,A5,Agar,99,F9,R5,STHWK,C4
2,A6,Agar,100,F9,R6,STHWK,C5
