Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
5,A1,F1,R1,D2E,12,ANCST,LEAF,1,C1,05/10/2022
5,B1,F2,R1,D2E,20,RCHMND,LEAF,1,C1,05/10/2022
5,C1,F3,R1,D2E,31,RWDN,ROOT,1,C1,05/10/2022
5,D1,F4,R1,D2E,PCR_NEG_Ctrol,PCR_NEG_Ctrol,PCR_NEG_Ctrol,PCR_NEG_Ctrol,PCR_NEG_Ctrol,PCR_NEG_Ctrol
5,E1,F5,R1,D2E,59,TAWWD,ROOT,2,C1,05/10/2022
30,A30,F5,R1,D2E,59,TAWWD,ROOT,2,C1,08/12/2022
5,F1,F6,R1,D2E,69,ATTP,ROOT,2,C2,05/10/2022
5,G1,F7,R1,D2E,DNA_Neg_Ctrol_1,DNA_Neg_Ctrol_1,DNA_Neg_Ctrol_1,DNA_Neg_Ctrol_1,DNA_Neg_Ctrol_1,DNA_Neg_Ctrol_1
5,H1,F8,R1,D2E,73,WINDW,ROOT,1,C2,05/10/2022
5,A2,F1,R2,D2E,77,GMKW,ROOT,1,C2,05/10/2022
5,B2,F2,R2,D2E,86,SLCY,LEAF,1,C2,05/10/2022
5,C2,F3,R2,D2E,100,DYMK,LEAF,3,C2,05/10/2022
5,D2,F4,R2,D2E,114,HOEF,LEAF,1,C2,05/10/2022
5,E2,F5,R2,D2E,124,LWBKR,LEAF,3,C3,05/10/2022
5,F2,F6,R2,D2E,DNA_Neg_Ctrol_2,DNA_Neg_Ctrol_2,DNA_Neg_Ctrol_2,DNA_Neg_Ctrol_2,DNA_Neg_Ctrol_2,DNA_Neg_Ctrol_2
5,G2,F7,R2,D2E,DNA_Neg_Ctrol_3,DNA_Neg_Ctrol_3,DNA_Neg_Ctrol_3,DNA_Neg_Ctrol_3,DNA_Neg_Ctrol_3,DNA_Neg_Ctrol_3
5,H2,F8,R2,D2E,187,GMKW,ROOT,1,C4,05/10/2022
5,A3,F1,R3,D2E,199,STHWK,ROOT,1,C4,05/10/2022
5,B3,F2,R3,D2E,208,RCHMD,LEAF,3,C4,05/10/2022
5,C3,F3,R3,D2E,217,WLDCP,ROOT,1,C4,05/10/2022
5,D3,F4,R3,D2E,220,TAWWD,LEAF,2,C4,05/10/2022
5,E3,F5,R3,D2E,258,LINEAG,LEAF,2,C5,05/10/2022
5,F3,F6,R3,D2E,267,CDPM,ROOT,3,C5,05/10/2022
5,G3,F7,R3,D2E,283,TAWWD,ROOT,1,C5,05/10/2022
5,H3,F8,R3,D2E,296,HTCH,LEAF,1,C5,05/10/2022
5,A4,F1,R4,D2E,6,SLCY,LEAF,1,C1,10/10/2022
5,B4,F2,R4,D2E,16,CROC,LEAF,1,C1,10/10/2022
5,C4,F3,R4,D2E,22,LINEAG,LEAF,1,C1,10/10/2022
5,D4,F4,R4,D2E,24,LWBKR,LEAF,2,C1,10/10/2022
5,E4,F5,R4,D2E,37,MTRD,ROOT,1,C1,10/10/2022
5,F4,F6,R4,D2E,50,HTCH,LEAF,1,C1,10/10/2022
5,G4,F7,R4,D2E,71,HARWD,ROOT,3,C2,10/10/2022
5,H4,F8,R4,D2E,94,LNGDL,LEAF,2,C2,10/10/2022
5,A5,F1,R5,D2E,107,SNDR,ROOT,3,C2,10/10/2022
5,B5,F2,R5,D2E,113,HOEF,ROOT,3,C2,10/10/2022
5,C5,F3,R5,D2E,134,HRWD,LEAF,2,C3,10/10/2022
