Plate,Well,Tube,Extraction,Date,Tissue,Site,Tree,SampleWeight,Fluoro,Conc,Band_intensity,Pool,Fw_barcode,Rev_barcode
1,A1,NA,1,21/02/2022,Leaf,ATTP,A18,0.13,636.177,33.79091758,High,Y,F1,R1
1,B1,NA,1,21/02/2022,Leaf,MOCCA,A8,0.19,437.753,15.57673301,Mid,Y,F1,R2
1,C1,NA,1,21/02/2022,Leaf,MALDW,C4,0.22,622.894,32.57161441,Mid,Y,F1,R3
1,D1,NA,1,21/02/2022,Leaf,HOEF,A16,0.19,678.999,37.72173145,High,Y,F1,R4
1,E1,NA,1,21/02/2022,Leaf,HLKH,C5,0.22,641.248,34.25640628,High,Y,F1,R5
1,F1,NA,1,21/02/2022,Leaf,STRTS,C4,0.19,637.928,33.95164933,High,Y,F1,R6
1,G1,NA,1,21/02/2022,Leaf,HTCH,A13,0.21,285.647,1.614275054,Low,Y,F1,R7
1,H1,NA,1,21/02/2022,Leaf,WINDW,A13,0.19,513.572,22.53648214,Mid,Y,F1,R8
1,A2,NA,1,21/02/2022,Leaf,HTCH,C3,0.13,691.593,38.87778839,High,Y,F2,R1
1,B2,NA,1,21/02/2022,Leaf,ATTP,C2,0.12,667.355,36.65287907,High,Y,F2,R2
1,C2,NA,1,21/02/2022,Leaf,WINDW,A18,0.18,714.203,40.95325664,High,Y,F2,R3
1,D2,NA,1,21/02/2022,Leaf,SNDR,C4,0.24,680.128,37.82536718,High,Y,F2,R4
1,E2,NA,1,21/02/2022,Leaf,ATTP,C3,0.16,489.847,20.35866328,High,Y,F2,R5
1,F2,NA,1,21/02/2022,Leaf,HTCH,A17,0.13,631.695,33.3794957,High,Y,F2,R6
1,G2,NA,1,21/02/2022,Leaf,RCHMD,A10,0.19,283.385,1.406636434,Low,Y,F2,R7
1,H2,NA,1,21/02/2022,Leaf,HTCH,C4,0.18,529.65,24.01235027,Mid,Y,F2,R8
1,A3,NA,1,21/02/2022,Leaf,GMKW,A17,0.17,1046.721,71.47650093,High,Y,F3,R1
1,B3,NA,1,21/02/2022,Leaf,STHWK,A12,0.26,672.437,37.11937751,High,Y,F3,R2
1,C3,NA,1,21/02/2022,Leaf,SNDR,C3,0.27,627.36,32.98156758,High,Y,F3,R3
1,D3,NA,1,21/02/2022,Leaf,ATTP,C5,0.21,702.691,39.8965211,High,Y,F3,R4
1,E3,NA,1,21/02/2022,Leaf,MOCCA,A16,0.18,732.69,42.65025716,High,Y,F3,R5
1,F3,NA,1,21/02/2022,Leaf,RCHMD,A6,0.17,711.472,40.70256651,High,Y,F3,R6
1,G3,NA,1,21/02/2022,Leaf,LNGDL,A9,0.13,487.412,20.13514425,Mid,Y,F3,R7
1,H3,NA,1,21/02/2022,Leaf,STHWK,A6,0.18,417.669,13.73313706,Mid,Y,F3,R8
13,A1,NA,1,21/02/2022,Leaf,GMKW,C3,0.16,869.92,58.82498071,High,Y,F4,R1
13,B1,NA,1,21/02/2022,Leaf,RCHMD,C1,0.17,639.821,41.17569571,High,Y,F4,R2
13,C1,NA,1,21/02/2022,Leaf,HRWD,C3,0.22,526.893,32.51377864,High,Y,F4,R3
13,D1,NA,1,21/02/2022,Leaf,CROC,C2,0.18,955.409,65.382244,High,Y,F4,R4
13,E1,NA,1,21/02/2022,Leaf,TAWWD,C4,0.09,750.3,49.64976712,High,Y,F4,R5
13,F1,NA,2,22/02/2022,Leaf,ATTP,A20,0.21,744.541,49.20803451,High,Y,F4,R6
13,G1,NA,2,22/02/2022,Leaf,ATTP,A12,0.17,351.994,19.09849958,Mid,Y,F4,R7
13,H1,NA,2,22/02/2022,Leaf,CROC,C5,0.23,761.322,50.49518765,High,Y,F4,R8
13,A2,NA,2,22/02/2022,Leaf,DYMK,C1,0.25,875.008,59.21524561,High,Y,F5,R1
13,B2,NA,2,22/02/2022,Leaf,HLKH,A12,0.18,609.545,38.8534355,High,Y,F5,R2
13,C2,NA,2,22/02/2022,Leaf,HLKH,A18,0.19,632.316,40.60003965,High,Y,F5,R3
13,D2,NA,2,22/02/2022,Leaf,HLKH,A16,0.21,752.125,49.78975011,High,Y,F5,R4
13,E2,NA,2,22/02/2022,Leaf,HLKH,C3,0.17,688.11,44.87960717,High,Y,F5,R5
13,F2,NA,2,22/02/2022,Leaf,HOEF,A9,0.1,725.162,47.72160695,High,Y,F5,R6
13,G2,NA,2,22/02/2022,Leaf,HOEF,C2,0.18,518.512,31.87093075,High,Y,F5,R7
13,H2,NA,2,22/02/2022,Leaf,HRWD,C5,0.18,673.188,43.73504492,High,Y,F5,R8
1,A6,NA,2,22/02/2022,Leaf,LINEAG,C4,0.15,842.324,52.71402923,High,Y,F6,R1
1,B6,NA,2,22/02/2022,Leaf,LNGDL,C2,0.2,647.889,34.86601197,High,Y,F6,R2
1,C6,NA,2,22/02/2022,Leaf,LNGDL,A15,0.2,880.159,56.18706512,Mid,Y,F6,R3
1,D6,NA,2,22/02/2022,Leaf,LWBKR,C3,0.2,764.069,45.53066929,Low,Y,F6,R4
1,E6,NA,2,22/02/2022,Leaf,MOCCA,C3,0.2,876.85,55.88331791,Mid,Y,F6,R5
1,F6,NA,2,22/02/2022,Leaf,MOCCA,A10,0.18,944.071,62.05381997,Mid,Y,F6,R6
1,G6,NA,2,22/02/2022,Leaf,MOCCA,A20,0.23,660.745,36.046119,High,Y,F6,R7
1,H6,NA,2,22/02/2022,Leaf,MOCCA,C4,0.19,803.02,49.10614758,High,Y,F6,R8
1,A7,NA,2,22/02/2022,Leaf,MOCCA,A11,0.17,620.952,32.39334995,High,Y,F7,R1
1,B7,NA,2,22/02/2022,Leaf,MOCCA,A19,0.2,529.522,24.00060061,High,Y,F7,R2
1,C7,NA,2,22/02/2022,Leaf,RCHMD,A11,0.2,653.552,35.38584288,High,Y,F7,R3
1,D7,NA,2,22/02/2022,Leaf,RWDN,C3,0.16,756.822,44.86543628,High,Y,F7,R4
1,E7,NA,2,22/02/2022,Leaf,SAW,C3,0.18,738.782,43.2094678,High,Y,F7,R5
1,F7,NA,2,22/02/2022,Leaf,SAW,C1,0.22,790.244,47.93338409,High,Y,F7,R6
1,G7,NA,2,22/02/2022,Leaf,STHWK,A15,0.14,441.195,15.89268886,High,Y,F7,R7
1,H7,NA,2,22/02/2022,Leaf,STHWK,A14,0.18,320.696,4.83157213,Mid,Y,F7,R8
1,A8,NA,2,22/02/2022,Leaf,STHWK,A8,0.18,402.279,12.32042338,Mid,Y,F8,R1
1,B8,NA,2,22/02/2022,Leaf,WINDW,A10,0.16,645.201,34.619269,High,Y,F8,R2
1,C8,NA,3,23/02/2022,Leaf,ANCST,C4,0.22,821.676,50.81866132,High,Y,F8,R3
1,D8,NA,3,23/02/2022,Leaf,ASHC,C5,0.2,743.256,43.62015532,High,Y,F8,R4
1,E8,NA,3,23/02/2022,Leaf,ATTP,A7,0.08,1123.387,78.51399979,High,Y,F8,R5
1,F8,NA,3,23/02/2022,Leaf,CDPM,C3,0.21,1028.6,69.81309711,High,Y,F8,R6
1,G8,NA,3,23/02/2022,Leaf,CDPM,C4,0.16,618.882,32.20333583,High,Y,F8,R7
1,H8,NA,3,23/02/2022,Leaf,GMKW,A14,0.11,659.838,35.96286161,High,Y,F8,R8
1,A9,NA,3,23/02/2022,Leaf,GMKW,C5,0.16,808.013,49.56447632,High,Y,F9,R1
1,B9,NA,3,23/02/2022,Leaf,HLKH,C1,0.19,867.466,55.02192056,High,Y,F9,R2
1,C9,NA,3,23/02/2022,Leaf,HLKH,A14,0.22,1012.18,68.30583534,Mid,Y,F9,R3
1,D9,NA,3,23/02/2022,Leaf,HOEF,A19,0.14,754.894,44.68845694,Low,Y,F9,R4
1,E9,NA,3,23/02/2022,Leaf,HTCH,A6,0.15,856.195,53.98730744,Low,Y,F9,R5
1,F9,NA,3,23/02/2022,Leaf,HTCH,A11,0.12,990.531,66.31858137,Mid,Y,F9,R6
1,G9,NA,3,23/02/2022,Leaf,LNGDL,C3,0.22,504.927,21.74292074,High,Y,F9,R7
1,H9,NA,3,23/02/2022,Leaf,MALDW,C5,0.18,589.625,29.51771112,High,Y,F9,R8
1,A10,NA,3,23/02/2022,Leaf,MTRD,C4,0.17,972.519,64.66518313,High,Y,F10,R1
