Plate,Well,Extraction,Date,SampleOrigin,Tissue,Site,Tree,SampleWeight,Conc,F,R,SampleID
15,A1,14,06/06/2022,Microbiome,Soil,ATTP,A18,0.44,36.75307708,F1,R1,Soil-ITS-F1-R1
15,B1,14,06/06/2022,Microbiome,Soil,ATTP,C2,0.47,19.14904686,F1,R2,Soil-ITS-F1-R2
15,C1,14,06/06/2022,Microbiome,Soil,ATTP,C3,0.51,18.05127344,F1,R3,Soil-ITS-F1-R3
15,D1,14,06/06/2022,Microbiome,Soil,ATTP,C5,0.5,51.87469122,F1,R4,Soil-ITS-F1-R4
15,E1,14,06/06/2022,Microbiome,Soil,CROC,C2,0.38,21.45842097,F1,R5,Soil-ITS-F1-R5
15,F1,14,06/06/2022,Microbiome,Soil,GMKW,A17,0.46,49.54606466,F1,R6,Soil-ITS-F1-R6
15,G1,14,06/06/2022,Microbiome,Soil,GMKW,C3,0.49,44.19925151,F1,R7,Soil-ITS-F1-R7
15,H1,14,06/06/2022,Microbiome,Soil,HLKH,C5,0.42,29.9663184,F1,R8,Soil-ITS-F1-R8
9,A2,14,06/06/2022,Microbiome,Soil,HOEF,A16,0.43,21.19243056,F2,R1,Soil-ITS-F2-R1
9,B2,14,06/06/2022,Microbiome,Soil,HRWD,C3,0.53,0.858441104,F2,R2,Soil-ITS-F2-R2
9,C2,14,06/06/2022,Microbiome,Soil,HTCH,A13,0.34,2.872590792,F2,R3,Soil-ITS-F2-R3
9,D2,14,06/06/2022,Microbiome,Soil,HTCH,C3,0.4,0.431322404,F2,R4,Soil-ITS-F2-R4
9,E2,14,06/06/2022,Microbiome,Soil,HTCH,A17,0.52,3.491926676,F2,R5,Soil-ITS-F2-R5
9,F2,14,06/06/2022,Microbiome,Soil,HTCH,C4,0.28,-4.565406433,F2,R6,Soil-ITS-F2-R6
9,G2,14,06/06/2022,Microbiome,Soil,LNGDL,A9,0.54,33.94430579,F2,R7,Soil-ITS-F2-R7
9,H2,14,06/06/2022,Microbiome,Soil,MALDW,C4,0.42,14.48676795,F2,R8,Soil-ITS-F2-R8
9,A3,14,06/06/2022,Microbiome,Soil,MOCCA,A8,0.42,68.58938781,F3,R1,Soil-ITS-F3-R1
9,B3,14,06/06/2022,Microbiome,Soil,MOCCA,A16,0.39,33.02342576,F3,R2,Soil-ITS-F3-R2
9,C3,14,06/06/2022,Microbiome,Soil,RCHMD,A10,0.38,13.22055791,F3,R3,Soil-ITS-F3-R3
9,D3,14,06/06/2022,Microbiome,Soil,RCHMD,A6,0.39,0.045511123,F3,R4,Soil-ITS-F3-R4
9,E3,14,06/06/2022,Microbiome,Soil,RCHMD,C1,0.33,1.906639777,F3,R5,Soil-ITS-F3-R5
9,F3,14,06/06/2022,Microbiome,Soil,SNDR,C4,0.38,3.687999218,F3,R6,Soil-ITS-F3-R6
9,G3,14,06/06/2022,Microbiome,Soil,SNDR,C3,0.3,0.696332438,F3,R7,Soil-ITS-F3-R7
9,H3,14,06/06/2022,Microbiome,Soil,Negctrl,Negctrl,0,-6.842454887,F3,R8,Soil-ITS-F3-R8
15,A2,15,21/06/2022,Microbiome,Soil,STHWK,A12,0.18,40.04026111,F4,R1,Soil-ITS-F4-R1
15,B2,15,21/06/2022,Microbiome,Soil,STHWK,A6,0.2,33.11083484,F4,R2,Soil-ITS-F4-R2
15,C2,15,21/06/2022,Microbiome,Soil,STRTS,C4,0.16,27.473394,F4,R3,Soil-ITS-F4-R3
15,D2,15,21/06/2022,Microbiome,Soil,TAWWD,C4,0.21,22.42648961,F4,R4,Soil-ITS-F4-R4
15,E2,15,21/06/2022,Microbiome,Soil,WINDW,A13,0.2,20.37292002,F4,R5,Soil-ITS-F4-R5
15,F2,15,21/06/2022,Microbiome,Soil,WINDW,A18,0.17,38.30853734,F4,R6,Soil-ITS-F4-R6
15,G2,15,21/06/2022,Microbiome,Soil,ATTP,A20,0.21,14.50828488,F4,R7,Soil-ITS-F4-R7
15,H2,15,21/06/2022,Microbiome,Soil,ATTP,A12,0.18,33.77293519,F4,R8,Soil-ITS-F4-R8
9,A5,15,21/06/2022,Microbiome,Soil,CROC,C5,0.1,1.650350199,F5,R1,Soil-ITS-F5-R1
9,B5,15,21/06/2022,Microbiome,Soil,DYMK,C1,0.23,8.854088469,F5,R2,Soil-ITS-F5-R2
9,C5,15,21/06/2022,Microbiome,Soil,HLKH,A12,0.2,66.00822497,F5,R3,Soil-ITS-F5-R3
9,D5,15,21/06/2022,Microbiome,Soil,HLKH,A18,0.19,49.25109071,F5,R4,Soil-ITS-F5-R4
9,E5,15,21/06/2022,Microbiome,Soil,HLKH,A16,0.19,18.027548,F5,R5,Soil-ITS-F5-R5
9,F5,15,21/06/2022,Microbiome,Soil,HLKH,C3,0.17,46.08143486,F5,R6,Soil-ITS-F5-R6
9,G5,15,21/06/2022,Microbiome,Soil,HOEF,A9,0.16,3.695434554,F5,R7,Soil-ITS-F5-R7
9,H5,15,21/06/2022,Microbiome,Soil,HOEF,C2,0.18,24.59019515,F5,R8,Soil-ITS-F5-R8
9,A6,15,21/06/2022,Microbiome,Soil,HRWD,C5,0.17,6.850036149,F6,R1,Soil-ITS-F6-R1
9,B6,15,21/06/2022,Microbiome,Soil,LINEAG,C4,0.26,29.60996435,F6,R2,Soil-ITS-F6-R2
