Plate,Well,Extraction,Date,SampleOrigin,Tissue,Site,Tree,SampleWeight,Conc,F,R,SampleID
5,A1,1,09/08/2022,Microbiome,Stem,ATTP,A18,0.17,13.52513127,F1,R1,Stem-ITS-F1-R1
5,B1,1,09/08/2022,Microbiome,Stem,ATTP,C2,0.15,19.15625025,F1,R2,Stem-ITS-F1-R2
5,C1,1,09/08/2022,Microbiome,Stem,ATTP,C3,0.14,24.2406426,F1,R3,Stem-ITS-F1-R3
5,D1,1,09/08/2022,Microbiome,Stem,ATTP,C5,0.16,20.20913043,F1,R4,Stem-ITS-F1-R4
5,E1,1,09/08/2022,Microbiome,Stem,CROC,C2,0.16,17.46044306,F1,R5,Stem-ITS-F1-R5
5,F1,1,09/08/2022,Microbiome,Stem,GMKW,A17,0.21,7.467995118,F1,R6,Stem-ITS-F1-R6
5,G1,1,09/08/2022,Microbiome,Stem,GMKW,C3,0.26,16.81292633,F1,R7,Stem-ITS-F1-R7
5,H1,1,09/08/2022,Microbiome,Stem,HLKH,C5,0.26,0.422969126,F1,R8,Stem-ITS-F1-R8
14,A1,1,09/08/2022,Microbiome,Stem,HOEF,A16,0.12,9.467209915,F2,R1,Stem-ITS-F2-R1
14,B1,1,09/08/2022,Microbiome,Stem,HRWD,C3,0.18,20.52809021,F2,R2,Stem-ITS-F2-R2
14,C1,1,09/08/2022,Microbiome,Stem,HTCH,A13,0.13,33.23800842,F2,R3,Stem-ITS-F2-R3
14,D1,1,09/08/2022,Microbiome,Stem,HTCH,C3,0.27,22.4313986,F2,R4,Stem-ITS-F2-R4
14,E1,1,09/08/2022,Microbiome,Stem,HTCH,A17,0.28,19.34348898,F2,R5,Stem-ITS-F2-R5
14,F1,1,09/08/2022,Microbiome,Stem,HTCH,C4,0.23,18.60890429,F2,R6,Stem-ITS-F2-R6
14,G1,1,09/08/2022,Microbiome,Stem,LNGDL,A9,0.25,9.350698049,F2,R7,Stem-ITS-F2-R7
14,H1,1,09/08/2022,Microbiome,Stem,Negctrl,Negctrl,0,13.93178509,F2,R8,Stem-ITS-F2-R8
5,A3,2,07/10/2022,Microbiome,Stem,MALDW,C4,0.15,33.00066078,F3,R1,Stem-ITS-F3-R1
5,B3,2,07/10/2022,Microbiome,Stem,MOCCA,A8,0.14,17.71425419,F3,R2,Stem-ITS-F3-R2
5,C3,2,07/10/2022,Microbiome,Stem,MOCCA,A16,0.12,14.13987744,F3,R3,Stem-ITS-F3-R3
5,D3,2,10/08/2022,Microbiome,Stem,RCHMD,A10,0.1,29.06718488,F3,R4,Stem-ITS-F3-R4
5,E3,2,07/10/2022,Microbiome,Stem,RCHMD,A6,0.08,14.96079352,F3,R5,Stem-ITS-F3-R5
5,F3,2,10/08/2022,Microbiome,Stem,RCHMD,C1,0.1,9.419265737,F3,R6,Stem-ITS-F3-R6
5,G3,2,10/08/2022,Microbiome,Stem,SNDR,C4,0.12,-1.630284918,F3,R7,Stem-ITS-F3-R7
5,H3,2,07/10/2022,Microbiome,Stem,SNDR,C3,0.12,-1.038028342,F3,R8,Stem-ITS-F3-R8
5,A4,2,07/10/2022,Microbiome,Stem,STHWK,A12,0.13,23.50224956,F4,R1,Stem-ITS-F4-R1
5,B4,2,10/08/2022,Microbiome,Stem,STHWK,A6,0.2,14.65897399,F4,R2,Stem-ITS-F4-R2
5,C4,2,07/10/2022,Microbiome,Stem,STRTS,C4,0.18,22.43908842,F4,R3,Stem-ITS-F4-R3
5,D4,2,10/08/2022,Microbiome,Stem,TAWWD,C4,0.17,41.22946557,F4,R4,Stem-ITS-F4-R4
5,E4,2,10/08/2022,Microbiome,Stem,WINDW,A13,0.12,54.33887946,F4,R5,Stem-ITS-F4-R5
5,F4,2,07/10/2022,Microbiome,Stem,WINDW,A18,0.19,12.24450952,F4,R6,Stem-ITS-F4-R6
5,G4,2,07/10/2022,Microbiome,Stem,ATTP,A20,0.16,1.997240713,F4,R7,Stem-ITS-F4-R7
5,H4,2,10/08/2022,Microbiome,Stem,ATTP,A12,0.12,-3.385850171,F4,R8,Stem-ITS-F4-R8
5,A5,2,07/10/2022,Microbiome,Stem,CROC,C5,0.11,25.8340074,F5,R1,Stem-ITS-F5-R1
5,B5,2,07/10/2022,Microbiome,Stem,DYMK,C1,0.24,22.47424563,F5,R2,Stem-ITS-F5-R2
5,C5,2,10/08/2022,Microbiome,Stem,HLKH,A12,0.26,27.48648769,F5,R3,Stem-ITS-F5-R3
5,D5,2,10/08/2022,Microbiome,Stem,HLKH,A18,0.19,25.30545604,F5,R4,Stem-ITS-F5-R4
5,E5,2,07/10/2022,Microbiome,Stem,HLKH,A16,0.19,15.85165683,F5,R5,Stem-ITS-F5-R5
5,F5,2,10/08/2022,Microbiome,Stem,HLKH,C3,0.14,16.42665608,F5,R6,Stem-ITS-F5-R6
5,G5,2,10/08/2022,Microbiome,Stem,HOEF,A9,0.11,13.86945154,F5,R7,Stem-ITS-F5-R7
5,H5,2,10/08/2022,Microbiome,Stem,HOEF,C2,0.04,4.611174108,F5,R8,Stem-ITS-F5-R8
5,A6,2,07/10/2022,Microbiome,Stem,HRWD,C5,0.15,34.41273191,F6,R1,Stem-ITS-F6-R1
5,B6,2,07/10/2022,Microbiome,Stem,LINEAG,C4,0.17,41.55579417,F6,R2,Stem-ITS-F6-R2
5,C6,2,10/08/2022,Microbiome,Stem,LNGDL,C2,0.04,24.12856181,F6,R3,Stem-ITS-F6-R3
5,D6,2,10/08/2022,Microbiome,Stem,LNGDL,A15,0.08,41.38468967,F6,R4,Stem-ITS-F6-R4
5,E6,2,10/08/2022,Microbiome,Stem,LWBKR,C3,0.14,30.80806305,F6,R5,Stem-ITS-F6-R5
5,F6,3,30/08/2022,Microbiome,Stem,MOCCA,C3,NA,18.4834901,F6,R6,Stem-ITS-F6-R6
5,G6,3,30/08/2022,Microbiome,Stem,MOCCA,A10,NA,1.190093771,F6,R7,Stem-ITS-F6-R7
5,H6,3,30/08/2022,Microbiome,Stem,MOCCA,A20,NA,-16.03491584,F6,R8,Stem-ITS-F6-R8
14,A2,3,30/08/2022,Microbiome,Stem,MOCCA,C4,NA,8.513024519,F7,R1,Stem-ITS-F7-R1
14,B2,3,30/08/2022,Microbiome,Stem,MOCCA,A11,NA,24.07667808,F7,R2,Stem-ITS-F7-R2
14,C2,3,30/08/2022,Microbiome,Stem,MOCCA,A19,NA,12.37992987,F7,R3,Stem-ITS-F7-R3
14,D2,3,30/08/2022,Microbiome,Stem,RCHMD,A11,NA,7.235842765,F7,R4,Stem-ITS-F7-R4
14,E2,3,30/08/2022,Microbiome,Stem,RWDN,C3,NA,2.322938522,F7,R5,Stem-ITS-F7-R5
14,F2,3,30/08/2022,Microbiome,Stem,SAW,C3,NA,-0.059456847,F7,R6,Stem-ITS-F7-R6
14,G2,3,30/08/2022,Microbiome,Stem,SAW,C1,NA,6.330593887,F7,R7,Stem-ITS-F7-R7
14,H2,3,30/08/2022,Microbiome,Stem,STHWK,A15,NA,1.231301339,F7,R8,Stem-ITS-F7-R8
5,A8,3,30/08/2022,Microbiome,Stem,STHWK,A14,NA,48.19325364,F8,R1,Stem-ITS-F8-R1
5,B8,3,30/08/2022,Microbiome,Stem,STHWK,A8,NA,34.85261001,F8,R2,Stem-ITS-F8-R2
5,C8,3,30/08/2022,Microbiome,Stem,WINDW,A10,NA,42.14015644,F8,R3,Stem-ITS-F8-R3
5,D8,3,30/08/2022,Microbiome,Stem,ANCST,C4,NA,46.77172771,F8,R4,Stem-ITS-F8-R4
5,E8,3,30/08/2022,Microbiome,Stem,ASHC,C5,NA,54.15097661,F8,R5,Stem-ITS-F8-R5
5,F8,3,30/08/2022,Microbiome,Stem,ATTP,A7,NA,37.63067155,F8,R6,Stem-ITS-F8-R6
5,G8,3,30/08/2022,Microbiome,Stem,CDPM,C3,NA,21.96056494,F8,R7,Stem-ITS-F8-R7
5,H8,3,30/08/2022,Microbiome,Stem,CDPM,C4,NA,18.07050772,F8,R8,Stem-ITS-F8-R8
5,A9,3,30/08/2022,Microbiome,Stem,GMKW,A14,NA,39.2150405,F9,R1,Stem-ITS-F9-R1
5,B9,3,30/08/2022,Microbiome,Stem,GMKW,C5,NA,45.25473574,F9,R2,Stem-ITS-F9-R2
5,C9,3,30/08/2022,Microbiome,Stem,HLKH,C1,NA,51.57045632,F9,R3,Stem-ITS-F9-R3
5,D9,3,30/08/2022,Microbiome,Stem,HLKH,A14,NA,40.10838226,F9,R4,Stem-ITS-F9-R4
5,E9,3,30/08/2022,Microbiome,Stem,HOEF,A19,NA,42.28877135,F9,R5,Stem-ITS-F9-R5
5,F9,3,30/08/2022,Microbiome,Stem,HTCH,A6,NA,17.28667652,F9,R6,Stem-ITS-F9-R6
5,G9,3,30/08/2022,Microbiome,Stem,HTCH,A11,NA,-3.004445014,F9,R7,Stem-ITS-F9-R7
5,H9,3,30/08/2022,Microbiome,Stem,LNGDL,C3,NA,22.92394571,F9,R8,Stem-ITS-F9-R8
5,A10,3,30/08/2022,Microbiome,Stem,MALDW,C5,NA,36.47085105,F10,R1,Stem-ITS-F10-R1
5,B10,3,30/08/2022,Microbiome,Stem,MTRD,C4,NA,61.55758019,F10,R2,Stem-ITS-F10-R2
5,C10,3,30/08/2022,Microbiome,Stem,Negctrl,Negctrl,NA,24.0934964,F10,R3,Stem-ITS-F10-R3
5,D10,4,31/08/2022,Microbiome,Stem,MTRD,C3,0.16,35.18894419,F10,R4,Stem-ITS-F10-R4
5,E10,4,31/08/2022,Microbiome,Stem,RCHMD,A8,0.1,4.202597849,F10,R5,Stem-ITS-F10-R5
5,F10,4,31/08/2022,Microbiome,Stem,RCHMD,C3,0.13,30.27960349,F10,R6,Stem-ITS-F10-R6
5,G10,4,31/08/2022,Microbiome,Stem,RWDN,C5,0.19,17.2389435,F10,R7,Stem-ITS-F10-R7
5,H10,4,31/08/2022,Microbiome,Stem,SAW,C5,0.18,19.25805008,F10,R8,Stem-ITS-F10-R8
5,A11,4,31/08/2022,Microbiome,Stem,SLCY,C1,0.16,66.14261177,F11,R1,Stem-ITS-F11-R1
5,B11,4,31/08/2022,Microbiome,Stem,SNDR,C5,0.29,39.76773375,F11,R2,Stem-ITS-F11-R2
5,C11,4,31/08/2022,Microbiome,Stem,STHWK,C4,0.2,43.66550169,F11,R3,Stem-ITS-F11-R3
5,D11,4,31/08/2022,Microbiome,Stem,STHWK,A11,0.17,39.99951426,F11,R4,Stem-ITS-F11-R4
5,E11,4,31/08/2022,Microbiome,Stem,STHWK,A10,0.25,33.79890368,F11,R5,Stem-ITS-F11-R5
5,F11,4,31/08/2022,Microbiome,Stem,STRTS,C3,0.23,40.01282443,F11,R6,Stem-ITS-F11-R6
5,G11,4,31/08/2022,Microbiome,Stem,WINDW,C4,0.33,17.12677092,F11,R7,Stem-ITS-F11-R7
5,H11,4,31/08/2022,Microbiome,Stem,WINDW,A16,0.24,9.5718278,F11,R8,Stem-ITS-F11-R8
14,A3,4,31/08/2022,Microbiome,Stem,WLDCP,C1,0.17,49.99684822,F12,R1,Stem-ITS-F12-R1
14,B3,4,31/08/2022,Microbiome,Stem,ATTP,A15,0.17,22.42334478,F12,R2,Stem-ITS-F12-R2
14,C3,4,31/08/2022,Microbiome,Stem,ATTP,A14,0.17,38.52645058,F12,R3,Stem-ITS-F12-R3
14,D3,4,31/08/2022,Microbiome,Stem,BBW,C1,0.21,34.38724956,F12,R4,Stem-ITS-F12-R4
14,E3,4,31/08/2022,Microbiome,Stem,CDS,C5,0.14,28.41254561,F12,R5,Stem-ITS-F12-R5
14,F3,4,31/08/2022,Microbiome,Stem,CDS,C3,0.08,13.52710003,F12,R6,Stem-ITS-F12-R6
14,G3,4,31/08/2022,Microbiome,Stem,DYMK,C4,0.23,7.991674187,F12,R7,Stem-ITS-F12-R7
14,H3,4,31/08/2022,Microbiome,Stem,GMKW,A6,0.27,15.97492306,F12,R8,Stem-ITS-F12-R8
6,A1,4,31/08/2022,Microbiome,Stem,GMKW,A10,0.3,10.46911671,F1,R9,Stem-ITS-F1-R9
6,B1,4,31/08/2022,Microbiome,Stem,HLKH,A6,0.26,8.190783134,F1,R10,Stem-ITS-F1-R10
6,C1,4,31/08/2022,Microbiome,Stem,HLKH,A17,0.17,3.228201762,F1,R11,Stem-ITS-F1-R11
6,D1,4,31/08/2022,Microbiome,Stem,HOEF,A13,0.14,15.93417987,F1,R12,Stem-ITS-F1-R12
6,E1,4,31/08/2022,Microbiome,Stem,HOEF,A20,0.14,10.35611797,F1,R13,Stem-ITS-F1-R13
6,F1,4,31/08/2022,Microbiome,Stem,HOEF,C5,0.17,22.23301031,F1,R14,Stem-ITS-F1-R14
6,G1,4,31/08/2022,Microbiome,Stem,HOEF,A15,0.17,0.931142159,F1,R15,Stem-ITS-F1-R15
6,H1,4,31/08/2022,Microbiome,Stem,HOEF,A7,0.14,-4.167753692,F1,R16,Stem-ITS-F1-R16
6,A2,4,31/08/2022,Microbiome,Stem,Negctrl,Negctrl,0,3.197542478,F2,R9,Stem-ITS-F2-R9
6,B2,5,01/09/2022,Microbiome,Stem,HTCH,C1,0.27,40.35255499,F2,R10,Stem-ITS-F2-R10
6,C2,5,01/09/2022,Microbiome,Stem,LINEAG,C5,0.17,20.05666016,F2,R11,Stem-ITS-F2-R11
6,D2,5,01/09/2022,Microbiome,Stem,LNGDL,A11,0.13,29.23920733,F2,R12,Stem-ITS-F2-R12
6,E2,5,01/09/2022,Microbiome,Stem,MCOU,C2,0.13,2.599502864,F2,R13,Stem-ITS-F2-R13
6,F2,5,01/09/2022,Microbiome,Stem,MOCCA,A9,0.13,23.67004947,F2,R14,Stem-ITS-F2-R14
6,G2,5,01/09/2022,Microbiome,Stem,RCHMD,C2,0.09,12.91249636,F2,R15,Stem-ITS-F2-R15
6,H2,5,01/09/2022,Microbiome,Stem,RCHMD,A15,0.1,9.945430445,F2,R16,Stem-ITS-F2-R16
6,A3,5,01/09/2022,Microbiome,Stem,SLCY,C2,0.12,32.81826559,F3,R9,Stem-ITS-F3-R9
6,B3,5,01/09/2022,Microbiome,Stem,SLCY,C3,0.18,30.95245542,F3,R10,Stem-ITS-F3-R10
6,C3,5,01/09/2022,Microbiome,Stem,SNDR,C1,0.16,3.413993347,F3,R11,Stem-ITS-F3-R11
6,D3,5,01/09/2022,Microbiome,Stem,STHWK,A13,0.16,35.87409656,F3,R12,Stem-ITS-F3-R12
6,E3,5,01/09/2022,Microbiome,Stem,WINDW,A19,0.13,34.70335254,F3,R13,Stem-ITS-F3-R13
6,F3,5,01/09/2022,Microbiome,Stem,WINDW,C3,0.19,32.27989224,F3,R14,Stem-ITS-F3-R14
6,G3,5,01/09/2022,Microbiome,Stem,WINDW,C5,0.17,37.25807864,F3,R15,Stem-ITS-F3-R15
6,H3,5,01/09/2022,Microbiome,Stem,ATTP,C1,0.14,4.954025675,F3,R16,Stem-ITS-F3-R16
6,A4,5,01/09/2022,Microbiome,Stem,ATTP,C4,0.16,35.63056638,F4,R9,Stem-ITS-F4-R9
6,B4,5,01/09/2022,Microbiome,Stem,ATTP,A16,0.16,16.36891749,F4,R10,Stem-ITS-F4-R10
6,C4,5,01/09/2022,Microbiome,Stem,BBW,C2,0.14,24.66005058,F4,R11,Stem-ITS-F4-R11
6,D4,5,01/09/2022,Microbiome,Stem,GMKW,A19,0.17,41.86973055,F4,R12,Stem-ITS-F4-R12
6,E4,5,01/09/2022,Microbiome,Stem,GMKW,A11,0.19,2.601981309,F4,R13,Stem-ITS-F4-R13
6,F4,5,01/09/2022,Microbiome,Stem,GMKW,A20,0.18,35.37675525,F4,R14,Stem-ITS-F4-R14
6,G4,5,01/09/2022,Microbiome,Stem,HOEF,A11,0.09,7.04500716,F4,R15,Stem-ITS-F4-R15
6,H4,5,01/09/2022,Microbiome,Stem,HOEF,C4,0.11,7.845728505,F4,R16,Stem-ITS-F4-R16
6,A5,5,01/09/2022,Microbiome,Stem,HOEF,A8,0.17,53.26305071,F5,R9,Stem-ITS-F5-R9
6,B5,5,01/09/2022,Microbiome,Stem,HTCH,A12,0.21,35.14947265,F5,R10,Stem-ITS-F5-R10
6,C5,5,01/09/2022,Microbiome,Stem,HTCH,A7,0.23,34.89153078,F5,R11,Stem-ITS-F5-R11
6,D5,5,01/09/2022,Microbiome,Stem,HTCH,A15,0.19,39.97922773,F5,R12,Stem-ITS-F5-R12
6,E5,5,01/09/2022,Microbiome,Stem,LINEAG,C3,0.18,46.30972719,F5,R13,Stem-ITS-F5-R13
6,F5,5,01/09/2022,Microbiome,Stem,LNGDL,A10,0.13,26.91956633,F5,R14,Stem-ITS-F5-R14
6,G5,5,01/09/2022,Microbiome,Stem,Negctrl,Negctrl,0,22.68794267,F5,R15,Stem-ITS-F5-R15
6,H5,6,21/09/2022,Microbiome,Stem,LNGDL,A6,0.13,5.023513931,F5,R16,Stem-ITS-F5-R16
14,A4,6,21/09/2022,Microbiome,Stem,LWBKR,C1,0.15,33.82263874,F6,R9,Stem-ITS-F6-R9
14,B4,6,21/09/2022,Microbiome,Stem,MCOU,C4,0.14,41.45512476,F6,R10,Stem-ITS-F6-R10
14,C4,6,21/09/2022,Microbiome,Stem,MOCCA,A6,0.13,29.42410485,F6,R11,Stem-ITS-F6-R11
14,D4,6,21/09/2022,Microbiome,Stem,MOCCA,A14,0.13,28.54846333,F6,R12,Stem-ITS-F6-R12
14,E4,6,21/09/2022,Microbiome,Stem,MOCCA,A18,0.14,25.03216743,F6,R13,Stem-ITS-F6-R13
14,F4,6,21/09/2022,Microbiome,Stem,RCHMD,A18,0.13,33.96568984,F6,R14,Stem-ITS-F6-R14
14,G4,6,21/09/2022,Microbiome,Stem,RCHMD,C4,0.1,13.00644002,F6,R15,Stem-ITS-F6-R15
14,H4,6,21/09/2022,Microbiome,Stem,RWDN,C4,0.12,12.14751976,F6,R16,Stem-ITS-F6-R16
14,A5,6,21/09/2022,Microbiome,Stem,STHWK,C1,0.22,27.75949621,F7,R9,Stem-ITS-F7-R9
14,B5,6,21/09/2022,Microbiome,Stem,STHWK,C5,0.14,33.38520149,F7,R10,Stem-ITS-F7-R10
14,C5,6,21/09/2022,Microbiome,Stem,STHWK,A16,0.19,31.40219868,F7,R11,Stem-ITS-F7-R11
14,D5,6,21/09/2022,Microbiome,Stem,TAWWD,C3,0.18,48.27218113,F7,R12,Stem-ITS-F7-R12
14,E5,6,21/09/2022,Microbiome,Stem,WINDW,A8,0.16,24.46847703,F7,R13,Stem-ITS-F7-R13
14,F5,6,21/09/2022,Microbiome,Stem,ANCST,C3,0.15,26.18923227,F7,R14,Stem-ITS-F7-R14
14,G5,6,21/09/2022,Microbiome,Stem,ANCST,C1,0.19,26.1643038,F7,R15,Stem-ITS-F7-R15
14,H5,6,21/09/2022,Microbiome,Stem,ATTP,A19,0.1,10.90477766,F7,R16,Stem-ITS-F7-R16
14,A6,6,21/09/2022,Microbiome,Stem,BBW,C4,0.11,41.85988653,F8,R9,Stem-ITS-F8-R9
14,B6,6,21/09/2022,Microbiome,Stem,BBW,C5,0.1,28.29227529,F8,R10,Stem-ITS-F8-R10
14,C6,6,21/09/2022,Microbiome,Stem,CDPM,C2,0.09,34.52661893,F8,R11,Stem-ITS-F8-R11
14,D6,6,21/09/2022,Microbiome,Stem,DYMK,C5,0.14,40.667615,F8,R12,Stem-ITS-F8-R12
14,E6,6,21/09/2022,Microbiome,Stem,GMKW,A13,0.17,47.9676702,F8,R13,Stem-ITS-F8-R13
14,F6,6,21/09/2022,Microbiome,Stem,HLKH,A20,0.26,28.2056776,F8,R14,Stem-ITS-F8-R14
14,G6,6,21/09/2022,Microbiome,Stem,HLKH,A7,0.16,70.44065384,F8,R15,Stem-ITS-F8-R15
14,H6,6,21/09/2022,Microbiome,Stem,HOEF,C1,0.09,50.79663047,F8,R16,Stem-ITS-F8-R16
6,A9,6,21/09/2022,Microbiome,Stem,HOEF,A17,0.09,27.08727445,F9,R9,Stem-ITS-F9-R9
6,B9,6,21/09/2022,Microbiome,Stem,HOEF,A14,0.12,31.95411441,F9,R10,Stem-ITS-F9-R10
6,C9,6,21/09/2022,Microbiome,Stem,HTCH,C5,0.18,50.81801876,F9,R11,Stem-ITS-F9-R11
6,D9,6,21/09/2022,Microbiome,Stem,HTCH,C2,0.17,50.17197075,F9,R12,Stem-ITS-F9-R12
6,E9,6,21/09/2022,Microbiome,Stem,Negctrl,Negctrl,0,9.702542829,F9,R13,Stem-ITS-F9-R13
6,F9,7,22/09/2022,Microbiome,Stem,LINEAG,C2,0.16,42.13161958,F9,R14,Stem-ITS-F9-R14
6,G9,7,22/09/2022,Microbiome,Stem,MALDW,C1,0.11,28.9548287,F9,R15,Stem-ITS-F9-R15
6,H9,7,22/09/2022,Microbiome,Stem,MCOU,C5,0.14,8.485626302,F9,R16,Stem-ITS-F9-R16
14,A7,7,22/09/2022,Microbiome,Stem,MOCCA,A15,0.12,40.9585495,F10,R9,Stem-ITS-F10-R9
14,B7,7,22/09/2022,Microbiome,Stem,MOCCA,C5,0.12,46.88447035,F10,R10,Stem-ITS-F10-R10
14,C7,7,22/09/2022,Microbiome,Stem,RCHMD,A19,0.12,32.03170025,F10,R11,Stem-ITS-F10-R11
14,D7,7,22/09/2022,Microbiome,Stem,RCHMD,A20,0.1,11.00771309,F10,R12,Stem-ITS-F10-R12
14,E7,7,22/09/2022,Microbiome,Stem,RCHMD,A7,0.09,45.87674625,F10,R13,Stem-ITS-F10-R13
