Site,FullSiteName,AODProx,AODZone,AODIsolated,Elevation_1haAve,DD_11point5Deg_CLIMEX5km,pAOD,groundfrost,hurs,psl,pv,rainfall,sfcWind,snowLying,sun,tas,tasmax,tasmin,H,NOx,NHx,Ntot,SOx,xSOx,Ca,Mg,CaMg,Cl,Easting,Northing
ANCST,Ancaster,Near,1,NA,58.42500019,506,0.590157695,93.19590192221905,81.42987108686536,1014.5963832268053,10.188448882599118,628.3655426098618,4.548092338536945,7.086376807967807,1618.808564061859,10.092287560206511,14.321310229228656,5.852903539995411,0.022267481582597816,1.068852031585918,2.1662639171393288,3.2351159487252477,1.6579704289437032,1.5791497547262223,0.5221266826147071,0.23398771352418837,0.7561143961388953,1.9396440416725367,502543.0417,317796
ASHC,Ashclyst,Far,0,NA,98.54999924,543,0.105899526,89.29603507415085,83.46079278509721,1015.6722500423725,10.85998320264408,912.594885,4.407645721674445,3.9710569250287024,1572.8727869298682,10.36008857847177,14.361922235472287,6.46724806,0.01574575,0.6969899884892868,2.6756106767276515,3.372600665216939,0.9249424872640589,0.6618775000350977,0.45945188048926094,0.5804828021638747,1.0399346826531355,5.5270991254787525,300004.4167,99229.125
ATTP,Attingham Park Estate,AOD,1,Y,54.17500019,490,0.738702223,107.29460937288911,80.9407658,1014.4950246911988,10.126626911122266,681.5845329562607,3.6720838069946056,4.524433389687954,1436.6075080520234,10.278011029811717,14.249033789085349,6.273339115585085,0.014233459156127051,0.7389195274718827,2.383793544712512,3.1227130721843928,1.256026354488846,1.161354897642474,0.5167316301313853,0.252283205,0.7690148349519073,2.090555538464433,354806,310383
BBW,Bell Bank Wood,Far,0,NA,140.1749992,420,0.122637048,88.15302492054826,83.37806990037791,1013.9868287972263,10.00205076532455,835.0197732453677,2.6356036312867017,9.545211069,1331.6741720873742,9.927267731,13.533909542828425,6.165686111616193,0.039761914,1.399407290823657,3.0718251090274418,4.4712323998510985,2.3722111573792977,2.1785408831165016,1.006531854,0.461371237,1.4679030910583117,5.021499365707569,410129.2917,438918.9167
CDPM,Coed Penrhyn-Mawr,Far,0,NA,35.47499943,487,0.00821507,83.85005431672307,83.38629531255904,1014.574734,10.705769368923708,1348.054452042856,3.2126998705483176,1.5109024564176177,1390.2437244362316,10.707120293961067,14.521059403395073,6.687842665528102,0.026575948,0.8170255225143083,1.802125537623411,2.6191510601377197,1.3389808377480563,0.9883935,0.5538574421974672,0.6836460040727674,1.237503446270235,7.652623306720988,267994.7917,295970.7917
CDS,Coed Sarnau,Far,0,NA,306.5250015,349,0.002350804,102.75682354703589,83.55188133372278,1014.8595652597606,9.978466988446275,1447.4314213289322,4.138004750177671,15.693964497660316,1295.282558594781,8.355274480940263,12.361283229783552,4.343525068472273,0.037978536,1.2354405793395464,2.5949819801725984,3.8304225595121455,1.8002595462104534,1.3633600289697114,0.7434790055467555,0.8053240391997593,1.5488030447465146,9.060791648,295572.6667,269452.375
CROC,Crowther's Coppice,Near,1,NA,149.2500038,444,0.088703202,103.55391508840104,82.40227762,1014.4904629759584,9.970967095914933,927.8284302629268,4.217528486522502,8.572925987829972,1370.368507,9.672389742,13.451029781849122,5.974700743893073,0.019102920233483534,0.7744468247444742,2.5488425921485645,3.3232894168930387,1.155549934170078,0.9852712708252828,0.5327469483897485,0.37163921065272193,0.9043861590424708,3.6159797005720704,324162.4167,310962.25
DYMK,Dymock,Near,1,NA,65.27499962,520,0.727541851,100.61733444070335,81.81465441373491,1015.1448202875789,10.42259387236589,745.2457126562653,3.6315880228625437,4.015481389316447,1594.7808848175534,10.542485101996393,14.63285648,6.494829259967281,0.018013762575361903,0.8609481550897345,2.094190811299867,2.955138966389601,1.1168947276700651,0.9689010330832397,0.5107523069688666,0.3765561332459931,0.88730844,3.3160295099161274,369745.375,227780.6667
GMKW,Great Monks Wood,AOD,1,Y,68.82500267,588,0.777374318,91.43555235212179,81.20835464654732,1015.0760653989217,10.447946723638957,617.0881428762411,4.2701377074012825,6.6743816310817765,1658.7329523165954,10.692582730331011,14.811577850530409,6.586618607146557,0.016506718193855727,1.0198829449734401,2.2844866219210176,3.3043695668944566,1.2694888727671196,1.1512348725498527,0.5261981110150874,0.29119162158547357,0.8173897326005608,2.419707321990303,582042,225254
HLKH,Holkham Hall,AOD,1,Y,16.35000014,471,0.54835959,70.92929184979238,81.89269291691784,1014.4418671034507,10.561135610610865,638.6524808616507,5.917352194222539,5.936259264501261,1629.0937323169069,10.464012023340773,13.869879482285407,7.007446744543698,0.018359651,1.1015437180503473,2.123755699320584,3.2252994173709326,1.336945477118612,1.2306788226315846,0.6556847330473815,0.2708882291468333,0.9265729621942154,2.3035528975595643,588985,343450
