Site,Tree,NathanID,Severity,MG_leaf,MG_soil,MG_stem,ITS_Leaf,ITS_Stem,ITS_Soil,rRNA_16S_Leaf,rRNA_16S_Soil,rRNA_16S_Stem
RWDN,C1,S2,Control,FO253,F257,FOS263,Leaf_ITS_F21_R17,Stem_ITS_F21_R22,Soil_ITS_F21_R19,Leaf_16S_F21_R17,Soil_16S_F21_R19,Stem_16S_F21_R22
RWDN,C2,S4,Control,FO254,F258,FOS264,Leaf_ITS_F21_R18,Stem_ITS_F21_R23,Soil_ITS_F21_R20,Leaf_16S_F21_R18,Soil_16S_F21_R20,Stem_16S_F21_R23
RWDN,C3,S5,Control,FO52,F53,FOS54,Leaf_ITS_F7_R4,Stem_ITS_F7_R5,Soil_ITS_F7_R5,Leaf_16S_F7_R4,Soil_16S_F7_R5,Stem_16S_F7_R5
RWDN,C4,E7,Control,FO140,F142,FOS145,Leaf_ITS_F6_R12,Stem_ITS_F6_R16,Soil_ITS_F6_R14,Leaf_16S_F6_R12,Soil_16S_F6_R14,Stem_16S_F6_R16
RWDN,C5,E2,Control,FO77,F79,FOS80,Leaf_ITS_F10_R5,Stem_ITS_F10_R7,Soil_ITS_F10_R7,Leaf_16S_F10_R5,Soil_16S_F10_R7,Stem_16S_F10_R7
SAW,C1,S1,Control,FO54,F55,FOS56,Leaf_ITS_F7_R6,Stem_ITS_F7_R7,Soil_ITS_F7_R7,Leaf_16S_F7_R6,Soil_16S_F7_R7,Stem_16S_F7_R7
SAW,C2,S3,Control,FO285,F290,FOS296,Leaf_ITS_F13_R2,Stem_ITS_F13_R7,Soil_ITS_F13_R4,Leaf_16S_F13_R2,Soil_16S_F13_R4,Stem_16S_F13_R7
SAW,C3,S7,Control,FO53,F54,FOS55,Leaf_ITS_F7_R5,Stem_ITS_F7_R6,Soil_ITS_F7_R6,Leaf_16S_F7_R5,Soil_16S_F7_R6,Stem_16S_F7_R6
SAW,C4,N6,Control,FO197,F201,FOS205,Leaf_ITS_F13_R23,Stem_ITS_F14_R20,Soil_ITS_F14_R17,Leaf_16S_F13_R23,Soil_16S_F14_R17,Stem_16S_F14_R20
SAW,C5,N3,Control,FO78,F80,FOS81,Leaf_ITS_F10_R6,Stem_ITS_F10_R8,Soil_ITS_F10_R8,Leaf_16S_F10_R6,Soil_16S_F10_R8,Stem_16S_F10_R8
